gap_type,priority,action_needed,moa_entity_name,moa_url,moa_description,nycgo_record_id,nycgo_name,nycgo_org_type,similarity_score,match_confidence,notes
in_moa_not_nycgo,high,add_to_nycgo,"New York City Global Partners, Inc - Board of Directors",http://www.nyc.gov/html/unccp/scp/html/about/organization.shtml,New York City Global Partners is a non-profit that works to create a global platform from which the City of New York can promote successful initiatives in local communities as well as engage the inter,,,,0.571,none,
in_moa_not_nycgo,high,add_to_nycgo,Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials,,"The Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials studies the compensation levels for the Mayor, Public Advocate, Comptroller, Borough Presidents, City Cou",,,,0.436,none,
in_moa_not_nycgo,high,add_to_nycgo,SWMP Converted Marine Transfer Station Community Advisory Group - Gansevoort (Manhattan),,"The Community Advisory Group advises the Mayor and other elected officials on the development, construction and operation of the Gansevoort Marine Transfer Station.",,,,0.51,none,
in_moa_not_nycgo,high,add_to_nycgo,Teachers' Retirement Board - Teachers' Retirement System,https://www.trsnyc.org/memberportal/About-Us/ourRetirementBoard,The Teachers' Retirement Board oversees and acts as fiduciary for the New York City teachers' pension fund.,,,,0.565,none,
in_moa_not_nycgo,high,add_to_nycgo,Veterans' Advisory Board - Mayor's Office of Veterans' Affairs,https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page,"The Veterans' Advisory Board advises the Director of Veterans' Affairs on all matters concerning veterans, determines its own rules of procedure, and submits an annual report of its activities to the ",,,,0.598,none,
in_moa_not_nycgo,high,add_to_nycgo,World Trade Center Memorial Foundation - Board of Directors National September 11 Memorial and Museum at the WTC,https://www.911memorial.org/about/board-trustees,"The National September 11 Memorial & Museum will build, program, own and operate the memorial and museum at Ground Zero that have been planned by the Lower Manhattan Development Corporation.",,,,0.536,none,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000007,Advisory Council to the Department for the Aging,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000009,Advisory Council on Procurement Lobbying,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000017,Audit Committee,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000018,Banking Commission,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000023,Board of Elections,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000040,Business Integrity Commission,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000041,Cabinet for Older New Yorkers,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000047,Center for Innovation through Data Intelligence,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000050,Charter Revision Commission,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000052,Chief Climate Officer,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000053,Chief Efficiency Officer,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000109,Commission to Combat Police Corruption,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000113,Commission on Racial Equity,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000118,Community Boards,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000119,Community Services Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000161,Deputy Mayor for Health and Human Services,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000163,Deputy Mayor for Operations,Mayoral Office,0.0,n/a,
