ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
v0_10_1,2025-06-27T13:04:34.048272,NYC_GOID_000337,Nightlife Advisory Board,OperationalStatus,Dissolved,Active,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Active""",v0_10_recovery_run,direct_set
v0_10_2,2025-06-27T13:04:34.048552,NYC_GOID_000025,Board of Standards and Appeals,NameAlphabetized,Board of Standards and Appeals,"Standards and Appeals, Board of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Standards and Appeals, Board of""",v0_10_recovery_run,direct_set
v0_10_3,2025-06-27T13:04:34.048779,NYC_GOID_000168,Bronx County District Attorney's Office,Name,Bronx County District Attorney's Office,Bronx District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Bronx District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_4,2025-06-27T13:04:34.049015,NYC_GOID_000168,Bronx District Attorney's Office,NameAlphabetized,District Attorney - Bronx County,"District Attorney's Office, Bronx",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Bronx""",v0_10_recovery_run,direct_set
v0_10_5,2025-06-27T13:04:34.049253,NYC_GOID_000168,Bronx District Attorney's Office,AlternateOrFormerNames,,Bronx County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Bronx County District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_6,2025-06-27T13:04:34.049631,NYC_GOID_000395,Bronx County Public Administrator,NameAlphabetized,Public Administrator - Bronx County,"Public Administrator, Bronx County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Bronx County""",v0_10_recovery_run,direct_set
v0_10_7,2025-06-27T13:04:34.049955,NYC_GOID_000169,Brooklyn District Attorney's Office,NameAlphabetized,District Attorney - Brooklyn,"District Attorney's Office, Brooklyn",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Brooklyn""",v0_10_recovery_run,direct_set
v0_10_8,2025-06-27T13:04:34.050238,NYC_GOID_000169,Brooklyn District Attorney's Office,AlternateOrFormerNames,District Attorney - Kings County,Kings County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Kings County District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_9,2025-06-27T13:04:34.050507,NYC_GOID_000120,Community Services Board - Developmental Disabilities Subcommittee,NameAlphabetized,Advisory or Regulatory Organization,Community Services Board - Developmental Disabilities Subcommittee,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Community Services Board - Developmental Disabilities Subcommittee""",v0_10_recovery_run,direct_set
v0_10_10,2025-06-27T13:04:34.050766,NYC_GOID_000122,Community Services Board - Substance Use Subcommittee,NameAlphabetized,Advisory or Regulatory Organization,Community Services Board - Substance Use Subcommittee,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Community Services Board - Substance Use Subcommittee""",v0_10_recovery_run,direct_set
v0_10_11,2025-06-27T13:04:34.050998,NYC_GOID_000100,CUNY Construction Fund - Board of Trustees,Name,CUNY Construction Fund - Board of Trustees,City University Construction Fund,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""City University Construction Fund""",v0_10_recovery_run,direct_set
v0_10_12,2025-06-27T13:04:34.051216,NYC_GOID_000127,Council for Airport Opportunity - Board of Directors,Name,Council for Airport Opportunity - Board of Directors,Council for Airport Opportunity,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Council for Airport Opportunity""",v0_10_recovery_run,direct_set
v0_10_13,2025-06-27T13:04:34.051449,NYC_GOID_000127,Council for Airport Opportunity,NameAlphabetized,"Airport Opportunity, Council for - Board of Directors","Airport Opportunity, Council for",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Airport Opportunity, Council for""",v0_10_recovery_run,direct_set
v0_10_14,2025-06-27T13:04:34.051670,NYC_GOID_000127,Council for Airport Opportunity,Acronym,,CAO,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""CAO""",v0_10_recovery_run,direct_set
v0_10_15,2025-06-27T13:04:34.051897,NYC_GOID_000127,Council for Airport Opportunity,OrganizationType,Advisory or Regulatory Organization,Nonprofit Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Nonprofit Organization""",v0_10_recovery_run,direct_set
v0_10_16,2025-06-27T13:04:34.052109,NYC_GOID_000130,Cultural Institutions Retirement System - Board of Trustees,Name,Cultural Institutions Retirement System - Board of Trustees,Cultural Institutions Retirement System,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Cultural Institutions Retirement System""",v0_10_recovery_run,direct_set
v0_10_17,2025-06-27T13:04:34.052334,NYC_GOID_000130,Cultural Institutions Retirement System,NameAlphabetized,Cultural Institutions Retirement System - Board of Trustees,Cultural Institutions Retirement System,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Cultural Institutions Retirement System""",v0_10_recovery_run,direct_set
v0_10_18,2025-06-27T13:04:34.052552,NYC_GOID_000130,Cultural Institutions Retirement System,URL,https://cirsplans.org/about/,https://cirsplans.org/,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""https://cirsplans.org/""",v0_10_recovery_run,direct_set
v0_10_19,2025-06-27T13:04:34.052772,NYC_GOID_000130,Cultural Institutions Retirement System,Acronym,,CIRS,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""CIRS""",v0_10_recovery_run,direct_set
v0_10_20,2025-06-27T13:04:34.053001,NYC_GOID_000246,Deputy Mayor for Administration and Chief of Staff,NameAlphabetized,"Chief of Staff, Mayor's Office","Administration and Chief of Staff, Deputy Mayor for",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Administration and Chief of Staff, Deputy Mayor for""",v0_10_recovery_run,direct_set
v0_10_21,2025-06-27T13:04:34.053216,NYC_GOID_000191,Fire Department,Name,Fire Department,Fire Department of the City of New York,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department of the City of New York""",v0_10_recovery_run,direct_set
v0_10_22,2025-06-27T13:04:34.053438,NYC_GOID_000191,Fire Department of the City of New York,AlternateOrFormerNames,,Fire Department,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department""",v0_10_recovery_run,direct_set
v0_10_23,2025-06-27T13:04:34.053660,NYC_GOID_000191,Fire Department of the City of New York,NameAlphabetized,Fire Department,Fire Department of the City of New York,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department of the City of New York""",v0_10_recovery_run,direct_set
v0_10_24,2025-06-27T13:04:34.053869,NYC_GOID_000216,Housing Preservation and Development,Name,Housing Preservation and Development,Department of Housing Preservation and Development,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Housing Preservation and Development""",v0_10_recovery_run,direct_set
v0_10_25,2025-06-27T13:04:34.054094,NYC_GOID_000216,Department of Housing Preservation and Development,AlternateOrFormerNames,Department of Housing Preservation and Development,Housing Preservation and Development,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Housing Preservation and Development""",v0_10_recovery_run,direct_set
v0_10_26,2025-06-27T13:04:34.054323,NYC_GOID_000234,Kings County Public Administrator,NameAlphabetized,Public Administrator - Kings County,"Public Administrator, Kings County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Kings County""",v0_10_recovery_run,direct_set
