ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
v0_14_1,2025-07-12T14:23:04.094071,NYC_GOID_000047,Center for Innovation through Data Intelligence,PrincipalOfficerGivenName,MaryAnne,Maryanne,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Maryanne""",v0_14_pipeline_run,direct_set
v0_14_2,2025-07-12T14:23:04.094359,NYC_GOID_000252,Mayor's Office for Economic Opportunity,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Executive Director""",v0_14_pipeline_run,direct_set
v0_14_3,2025-07-12T14:23:04.094608,NYC_GOID_000276,Mayor's Office of Policy and Planning,PrincipalOfficerFullName,Marc Heinrich,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_4,2025-07-12T14:23:04.094849,NYC_GOID_000276,Mayor's Office of Policy and Planning,PrincipalOfficerGivenName,Marc,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_5,2025-07-12T14:23:04.095093,NYC_GOID_000276,Mayor's Office of Policy and Planning,PrincipalOfficerFamilyName,Heinrich,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_6,2025-07-12T14:23:04.095337,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,PrincipalOfficerFullName,Abby Jo Sigal,Doug Lipari,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Doug Lipari""",v0_14_pipeline_run,direct_set
v0_14_7,2025-07-12T14:23:04.095574,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,PrincipalOfficerGivenName,Abby,Doug,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Doug""",v0_14_pipeline_run,direct_set
v0_14_8,2025-07-12T14:23:04.095804,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,PrincipalOfficerFamilyName,Sigal,Lipari,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Lipari""",v0_14_pipeline_run,direct_set
v0_14_9,2025-07-12T14:23:04.096046,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,PrincipalOfficerTitle,Executive Director,Acting Executive Director,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Acting Executive Director""",v0_14_pipeline_run,direct_set
v0_14_10,2025-07-12T14:23:04.096298,NYC_GOID_000280,Mayor's Office of Strategic Partnerships,PrincipalOfficerFullName,Darren Bloch,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_11,2025-07-12T14:23:04.096537,NYC_GOID_000280,Mayor's Office of Strategic Partnerships,PrincipalOfficerGivenName,Darren,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_12,2025-07-12T14:23:04.096774,NYC_GOID_000280,Mayor's Office of Strategic Partnerships,PrincipalOfficerFamilyName,Bloch,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_13,2025-07-12T14:23:04.097008,NYC_GOID_100008,Office of Creative Communications,PrincipalOfficerFullName,Caroline Rubinstein-Willis,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_14,2025-07-12T14:23:04.097246,NYC_GOID_100008,Office of Creative Communications,PrincipalOfficerGivenName,Caroline,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_15,2025-07-12T14:23:04.097487,NYC_GOID_100008,Office of Creative Communications,PrincipalOfficerFamilyName,Rubinstein-Willis,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_16,2025-07-12T14:23:04.097725,NYC_GOID_000468,New York City Young Men's Initiative,PrincipalOfficerFullName,Nathifa Forde,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_17,2025-07-12T14:23:04.097962,NYC_GOID_000468,New York City Young Men's Initiative,PrincipalOfficerGivenName,Nathifa,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_18,2025-07-12T14:23:04.098199,NYC_GOID_000468,New York City Young Men's Initiative,PrincipalOfficerFamilyName,Forde,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
