ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,changed_by,RuleAction
v0_16_1,2025-08-27T10:32:46.917318,NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_2,2025-08-27T10:32:46.917622,NYC_GOID_000005,Advisory Committee on Female Genital Mutilation and Cutting,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_3,2025-08-27T10:32:46.917875,NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_4,2025-08-27T10:32:46.918116,NYC_GOID_000010,Age Friendly Commission,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_5,2025-08-27T10:32:46.918352,NYC_GOID_000016,Atlantic Yards Community Development Corporation,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_6,2025-08-27T10:32:46.918586,NYC_GOID_000019,Black Car and Livery Task Force,OperationalStatus,Active,Dissolved,NYCGO_v0_16_Edits_To_Make.csv,Set to Dissolved,Advisory committee that disolves after its final report is issued. Final report issued here: https://www.nyc.gov/assets/tlc/downloads/pdf/black-car-and-livery-task-force-report-2021.pdf,Nathan,direct_set
v0_16_7,2025-08-27T10:32:46.918818,NYC_GOID_000036,Brooklyn Marine Terminal Task Force,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_8,2025-08-27T10:32:46.919050,NYC_GOID_000043,Cannabis Advisory Council,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_9,2025-08-27T10:32:46.919279,NYC_GOID_000044,Caribbean Advisory Council,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_10,2025-08-27T10:32:46.919509,NYC_GOID_000056,Child Care Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_11,2025-08-27T10:32:46.919741,NYC_GOID_000058,Child Fatality Review Advisory Team,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_12,2025-08-27T10:32:46.919970,NYC_GOID_000095,Citizens' Advisory Committee,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_13,2025-08-27T10:32:46.920198,NYC_GOID_000107,Climate Mobilization Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_14,2025-08-27T10:32:46.920425,NYC_GOID_000108,Commercial Waste Zone Safety Task Force,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_15,2025-08-27T10:32:46.920654,NYC_GOID_000110,Commission on Community Reinvestment and the Closure of Rikers Island,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_16,2025-08-27T10:32:46.920881,NYC_GOID_000112,Commission on Public Information and Communication,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_17,2025-08-27T10:32:46.921111,NYC_GOID_000115,Committee on City Healthcare Services,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_18,2025-08-27T10:32:46.921334,NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,URL,https://www1.nyc.gov/site/counseltothemayor/index.page,,NYCGO_v0_16_Edits_To_Make.csv,Set to,No active website for this office,Nathan,direct_set
v0_16_19,2025-08-27T10:32:46.921558,NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,PrincipalOfficerContactURL,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,NYCGO_v0_16_Edits_To_Make.csv,Set to,No active website for this office,Nathan,direct_set
v0_16_20,2025-08-27T10:32:46.921786,NYC_GOID_000130,Cultural Institutions Retirement System,OrganizationType,Advisory or Regulatory Organization,Pension Fund,NYCGO_v0_16_Edits_To_Make.csv,Set to Pension Fund,Corrected organizational type field.,Nathan,direct_set
v0_16_21,2025-08-27T10:32:46.922014,NYC_GOID_000133,Deferred Compensation Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_22,2025-08-27T10:32:46.922241,NYC_GOID_000180,Economic Development Corporation Real Estate Life Sciences Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_23,2025-08-27T10:32:46.922469,NYC_GOID_000183,Environmental Justice Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_24,2025-08-27T10:32:46.922696,NYC_GOID_000194,Flushing Meadows Corona Park Alliance,OrganizationType,Advisory or Regulatory Organization,Nonprofit Organization,NYCGO_v0_16_Edits_To_Make.csv,Set to Nonprofit Organization,Corrected organizational type field.,Nathan,direct_set
v0_16_25,2025-08-27T10:32:46.922923,NYC_GOID_000195,Food Service Establishment Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_26,2025-08-27T10:32:46.923150,NYC_GOID_000197,Franchise and Concession Review Committee,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_27,2025-08-27T10:32:46.923377,NYC_GOID_000200,Gender and Racial Equity Advisory Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_28,2025-08-27T10:32:46.923602,NYC_GOID_000203,Gracie Mansion Conversancy Advisory Committee,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_29,2025-08-27T10:32:46.923828,NYC_GOID_000209,Handschu Committee,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_30,2025-08-27T10:32:46.924052,NYC_GOID_000212,Health and Hospitals Corporation Personnel Review Board,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_31,2025-08-27T10:32:46.924277,NYC_GOID_000219,Hudson River Valley Greenway Communities Council,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
v0_16_32,2025-08-27T10:32:46.924505,NYC_GOID_000231,Jamaica Bay Task Force,OperationalStatus,Active,Verification Pending,NYCGO_v0_16_Edits_To_Make.csv,Set to Verification Pending,Insufficient evidence found to confirm Active status.,Nathan,direct_set
