ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-11T17:08:40.568464,NYC_GOID_000000,PrincipalOfficerFullName,,Joseph Morrisroe,System_NameParseRule,Parsed from: 'Joseph Morrisroe',v0_6_pipeline_run,NAME_PARSE_SUCCESS
2,2025-06-11T17:08:40.568550,NYC_GOID_000000,PrincipalOfficerGivenName,,Joseph,System_NameParseRule,Parsed from: 'Joseph Morrisroe',v0_6_pipeline_run,NAME_PARSE_SUCCESS
3,2025-06-11T17:08:40.568586,NYC_GOID_000000,PrincipalOfficerFamilyName,,Morrisroe,System_NameParseRule,Parsed from: 'Joseph Morrisroe',v0_6_pipeline_run,NAME_PARSE_SUCCESS
4,2025-06-11T17:08:40.568735,NYC_GOID_000003,PrincipalOfficerFullName,,Sideya Sherman,System_NameParseRule,Parsed from: 'Sideya Sherman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
5,2025-06-11T17:08:40.568771,NYC_GOID_000003,PrincipalOfficerGivenName,,Sideya,System_NameParseRule,Parsed from: 'Sideya Sherman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
6,2025-06-11T17:08:40.568802,NYC_GOID_000003,PrincipalOfficerFamilyName,,Sherman,System_NameParseRule,Parsed from: 'Sideya Sherman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
7,2025-06-11T17:08:40.569172,NYC_GOID_000007,PrincipalOfficerFullName,,Lorraine Cortés-Vázquez,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
8,2025-06-11T17:08:40.569210,NYC_GOID_000007,PrincipalOfficerGivenName,,Lorraine,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
9,2025-06-11T17:08:40.569240,NYC_GOID_000007,PrincipalOfficerFamilyName,,Cortés-Vázquez,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
10,2025-06-11T17:08:40.569384,NYC_GOID_000012,PrincipalOfficerFullName,,Risa Weinstock,System_NameParseRule,Parsed from: 'Risa Weinstock',v0_6_pipeline_run,NAME_PARSE_SUCCESS
11,2025-06-11T17:08:40.569436,NYC_GOID_000012,PrincipalOfficerGivenName,,Risa,System_NameParseRule,Parsed from: 'Risa Weinstock',v0_6_pipeline_run,NAME_PARSE_SUCCESS
12,2025-06-11T17:08:40.569492,NYC_GOID_000012,PrincipalOfficerFamilyName,,Weinstock,System_NameParseRule,Parsed from: 'Risa Weinstock',v0_6_pipeline_run,NAME_PARSE_SUCCESS
13,2025-06-11T17:08:40.569632,NYC_GOID_000015,PrincipalOfficerFullName,,Melva M. Miller,System_NameParseRule,Parsed from: 'Melva M. Miller',v0_6_pipeline_run,NAME_PARSE_SUCCESS
14,2025-06-11T17:08:40.569669,NYC_GOID_000015,PrincipalOfficerGivenName,,Melva,System_NameParseRule,Parsed from: 'Melva M. Miller',v0_6_pipeline_run,NAME_PARSE_SUCCESS
15,2025-06-11T17:08:40.569699,NYC_GOID_000015,PrincipalOfficerMiddleNameOrInitial,,M.,System_NameParseRule,Parsed from: 'Melva M. Miller',v0_6_pipeline_run,NAME_PARSE_SUCCESS
16,2025-06-11T17:08:40.569726,NYC_GOID_000015,PrincipalOfficerFamilyName,,Miller,System_NameParseRule,Parsed from: 'Melva M. Miller',v0_6_pipeline_run,NAME_PARSE_SUCCESS
17,2025-06-11T17:08:40.569824,NYC_GOID_000017,PrincipalOfficerFullName,,Tobi Jaiyesimi,System_NameParseRule,Parsed from: 'Tobi Jaiyesimi',v0_6_pipeline_run,NAME_PARSE_SUCCESS
18,2025-06-11T17:08:40.569856,NYC_GOID_000017,PrincipalOfficerGivenName,,Tobi,System_NameParseRule,Parsed from: 'Tobi Jaiyesimi',v0_6_pipeline_run,NAME_PARSE_SUCCESS
19,2025-06-11T17:08:40.569884,NYC_GOID_000017,PrincipalOfficerFamilyName,,Jaiyesimi,System_NameParseRule,Parsed from: 'Tobi Jaiyesimi',v0_6_pipeline_run,NAME_PARSE_SUCCESS
20,2025-06-11T17:08:40.570109,NYC_GOID_000024,PrincipalOfficerFullName,,Michelle Morse,System_NameParseRule,Parsed from: 'Michelle Morse',v0_6_pipeline_run,NAME_PARSE_SUCCESS
21,2025-06-11T17:08:40.570142,NYC_GOID_000024,PrincipalOfficerGivenName,,Michelle,System_NameParseRule,Parsed from: 'Michelle Morse',v0_6_pipeline_run,NAME_PARSE_SUCCESS
22,2025-06-11T17:08:40.570170,NYC_GOID_000024,PrincipalOfficerFamilyName,,Morse,System_NameParseRule,Parsed from: 'Michelle Morse',v0_6_pipeline_run,NAME_PARSE_SUCCESS
23,2025-06-11T17:08:40.570297,NYC_GOID_000026,PrincipalOfficerFullName,,Vanessa L. Gibson,System_NameParseRule,Parsed from: 'Vanessa L. Gibson',v0_6_pipeline_run,NAME_PARSE_SUCCESS
24,2025-06-11T17:08:40.570328,NYC_GOID_000026,PrincipalOfficerGivenName,,Vanessa,System_NameParseRule,Parsed from: 'Vanessa L. Gibson',v0_6_pipeline_run,NAME_PARSE_SUCCESS
25,2025-06-11T17:08:40.570356,NYC_GOID_000026,PrincipalOfficerMiddleNameOrInitial,,L.,System_NameParseRule,Parsed from: 'Vanessa L. Gibson',v0_6_pipeline_run,NAME_PARSE_SUCCESS
26,2025-06-11T17:08:40.570382,NYC_GOID_000026,PrincipalOfficerFamilyName,,Gibson,System_NameParseRule,Parsed from: 'Vanessa L. Gibson',v0_6_pipeline_run,NAME_PARSE_SUCCESS
27,2025-06-11T17:08:40.570450,NYC_GOID_000027,PrincipalOfficerFullName,,Antonio Reynoso,System_NameParseRule,Parsed from: 'Antonio Reynoso',v0_6_pipeline_run,NAME_PARSE_SUCCESS
28,2025-06-11T17:08:40.570480,NYC_GOID_000027,PrincipalOfficerGivenName,,Antonio,System_NameParseRule,Parsed from: 'Antonio Reynoso',v0_6_pipeline_run,NAME_PARSE_SUCCESS
29,2025-06-11T17:08:40.570507,NYC_GOID_000027,PrincipalOfficerFamilyName,,Reynoso,System_NameParseRule,Parsed from: 'Antonio Reynoso',v0_6_pipeline_run,NAME_PARSE_SUCCESS
30,2025-06-11T17:08:40.570588,NYC_GOID_000028,PrincipalOfficerFullName,,Mark D. Levine,System_NameParseRule,Parsed from: 'Mark D. Levine',v0_6_pipeline_run,NAME_PARSE_SUCCESS
31,2025-06-11T17:08:40.570617,NYC_GOID_000028,PrincipalOfficerGivenName,,Mark,System_NameParseRule,Parsed from: 'Mark D. Levine',v0_6_pipeline_run,NAME_PARSE_SUCCESS
32,2025-06-11T17:08:40.570643,NYC_GOID_000028,PrincipalOfficerMiddleNameOrInitial,,D.,System_NameParseRule,Parsed from: 'Mark D. Levine',v0_6_pipeline_run,NAME_PARSE_SUCCESS
33,2025-06-11T17:08:40.570669,NYC_GOID_000028,PrincipalOfficerFamilyName,,Levine,System_NameParseRule,Parsed from: 'Mark D. Levine',v0_6_pipeline_run,NAME_PARSE_SUCCESS
34,2025-06-11T17:08:40.570752,NYC_GOID_000029,PrincipalOfficerFullName,,Donovan J. Richards Jr.,System_NameParseRule,Parsed from: 'Donovan J. Richards Jr.',v0_6_pipeline_run,NAME_PARSE_SUCCESS
35,2025-06-11T17:08:40.570784,NYC_GOID_000029,PrincipalOfficerGivenName,,Donovan,System_NameParseRule,Parsed from: 'Donovan J. Richards Jr.',v0_6_pipeline_run,NAME_PARSE_SUCCESS
36,2025-06-11T17:08:40.570811,NYC_GOID_000029,PrincipalOfficerMiddleNameOrInitial,,J.,System_NameParseRule,Parsed from: 'Donovan J. Richards Jr.',v0_6_pipeline_run,NAME_PARSE_SUCCESS
37,2025-06-11T17:08:40.570837,NYC_GOID_000029,PrincipalOfficerFamilyName,,Richards,System_NameParseRule,Parsed from: 'Donovan J. Richards Jr.',v0_6_pipeline_run,NAME_PARSE_SUCCESS
38,2025-06-11T17:08:40.570864,NYC_GOID_000029,PrincipalOfficerSuffix,,Jr.,System_NameParseRule,Parsed from: 'Donovan J. Richards Jr.',v0_6_pipeline_run,NAME_PARSE_SUCCESS
39,2025-06-11T17:08:40.570945,NYC_GOID_000030,PrincipalOfficerFullName,,Vito J. Fossella,System_NameParseRule,Parsed from: 'Vito J. Fossella',v0_6_pipeline_run,NAME_PARSE_SUCCESS
40,2025-06-11T17:08:40.570975,NYC_GOID_000030,PrincipalOfficerGivenName,,Vito,System_NameParseRule,Parsed from: 'Vito J. Fossella',v0_6_pipeline_run,NAME_PARSE_SUCCESS
41,2025-06-11T17:08:40.571008,NYC_GOID_000030,PrincipalOfficerMiddleNameOrInitial,,J.,System_NameParseRule,Parsed from: 'Vito J. Fossella',v0_6_pipeline_run,NAME_PARSE_SUCCESS
42,2025-06-11T17:08:40.571034,NYC_GOID_000030,PrincipalOfficerFamilyName,,Fossella,System_NameParseRule,Parsed from: 'Vito J. Fossella',v0_6_pipeline_run,NAME_PARSE_SUCCESS
43,2025-06-11T17:08:40.571103,NYC_GOID_000034,PrincipalOfficerFullName,,Eric Landau,System_NameParseRule,Parsed from: 'Eric Landau',v0_6_pipeline_run,NAME_PARSE_SUCCESS
44,2025-06-11T17:08:40.571130,NYC_GOID_000034,PrincipalOfficerGivenName,,Eric,System_NameParseRule,Parsed from: 'Eric Landau',v0_6_pipeline_run,NAME_PARSE_SUCCESS
45,2025-06-11T17:08:40.571156,NYC_GOID_000034,PrincipalOfficerFamilyName,,Landau,System_NameParseRule,Parsed from: 'Eric Landau',v0_6_pipeline_run,NAME_PARSE_SUCCESS
