ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
20251124-2132_add-name-moa-v2_1,2025-11-24T16:32:00.524861,NYC_GOID_000002,Administration for Children's Services,BudgetCode,68.0,068,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_2,2025-11-24T16:32:00.525008,NYC_GOID_000021,Board of Correction,BudgetCode,73.0,073,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_3,2025-11-24T16:32:00.525089,NYC_GOID_000023,Board of Elections,BudgetCode,3.0,003,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_4,2025-11-24T16:32:00.525164,NYC_GOID_000026,Office of the Borough President of The Bronx,BudgetCode,11.0,011,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_5,2025-11-24T16:32:00.525234,NYC_GOID_000027,Office of the Borough President of Brooklyn,BudgetCode,12.0,012,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_6,2025-11-24T16:32:00.525298,NYC_GOID_000028,Office of the Borough President of Manhattan,BudgetCode,10.0,010,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_7,2025-11-24T16:32:00.525358,NYC_GOID_000029,Office of the Borough President of Queens,BudgetCode,13.0,013,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_8,2025-11-24T16:32:00.525428,NYC_GOID_000030,Office of the Borough President of Staten Island,BudgetCode,14.0,014,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_9,2025-11-24T16:32:00.525512,NYC_GOID_000038,Brooklyn Public Library,BudgetCode,38.0,038,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_10,2025-11-24T16:32:00.525574,NYC_GOID_000040,Business Integrity Commission,BudgetCode,829.0,829,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_11,2025-11-24T16:32:00.525636,NYC_GOID_000042,Campaign Finance Board,BudgetCode,4.0,004,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_12,2025-11-24T16:32:00.525693,NYC_GOID_000047,Center for Innovation through Data Intelligence,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_13,2025-11-24T16:32:00.525750,NYC_GOID_000052,Chief Climate Officer,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_14,2025-11-24T16:32:00.525806,NYC_GOID_000053,Chief Efficiency Officer,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_15,2025-11-24T16:32:00.525862,NYC_GOID_000054,Chief Housing Officer,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_16,2025-11-24T16:32:00.525919,NYC_GOID_000096,City Commission on Human Rights,BudgetCode,226.0,226,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_17,2025-11-24T16:32:00.525975,NYC_GOID_000097,New York City Council,BudgetCode,102.0,102,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_18,2025-11-24T16:32:00.526034,NYC_GOID_000099,City University of New York,BudgetCode,42.0,042,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_19,2025-11-24T16:32:00.526090,NYC_GOID_000103,Civil Service Commission,BudgetCode,134.0,134,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_20,2025-11-24T16:32:00.526148,NYC_GOID_000105,Civilian Complaint Review Board,BudgetCode,54.0,054,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_21,2025-11-24T16:32:00.526205,NYC_GOID_000117,Mayor's Community Affairs Unit,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_22,2025-11-24T16:32:00.526264,NYC_GOID_000123,Office of the New York City Comptroller,BudgetCode,15.0,015,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_23,2025-11-24T16:32:00.526321,NYC_GOID_000124,Conflicts of Interest Board,BudgetCode,312.0,312,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_24,2025-11-24T16:32:00.526378,NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_25,2025-11-24T16:32:00.526434,NYC_GOID_000134,DemocracyNYC,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_26,2025-11-24T16:32:00.526491,NYC_GOID_000135,Department for the Aging,BudgetCode,125.0,125,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
