ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
20251210-1540_Sprint-6A-snake-case-and-column-reorder_1,2025-12-10T10:40:51.134743,NYC_GOID_100030,Office of Digital Assets and Blockchain Technology,in_org_chart,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_2,2025-12-10T10:40:51.134856,NYC_GOID_000000,NYC311,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_3,2025-12-10T10:40:51.134905,NYC_GOID_000001,Accessory Sign Regulation Interagency Task Force,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_4,2025-12-10T10:40:51.134948,NYC_GOID_000002,Administration for Children's Services,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_5,2025-12-10T10:40:51.134987,NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_6,2025-12-10T10:40:51.135030,NYC_GOID_000004,Advisory Commission on Property Tax Reform,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_7,2025-12-10T10:40:51.135088,NYC_GOID_000005,Advisory Committee on Female Genital Mutilation and Cutting,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_8,2025-12-10T10:40:51.135128,NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_9,2025-12-10T10:40:51.135169,NYC_GOID_000007,Advisory Council to the Department for the Aging,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_10,2025-12-10T10:40:51.135205,NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_11,2025-12-10T10:40:51.135241,NYC_GOID_000009,Advisory Council on Procurement Lobbying,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_12,2025-12-10T10:40:51.135279,NYC_GOID_000010,Age Friendly Commission,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_13,2025-12-10T10:40:51.135316,NYC_GOID_000011,Algorithm Advisory Committee,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_14,2025-12-10T10:40:51.135352,NYC_GOID_000012,Animal Care Centers of NYC,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_15,2025-12-10T10:40:51.135388,NYC_GOID_000014,"Archives, Reference and Research Advisory Board",listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_16,2025-12-10T10:40:51.135425,NYC_GOID_000015,Association for a Better New York,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_17,2025-12-10T10:40:51.135461,NYC_GOID_000016,Atlantic Yards Community Development Corporation,listed_in_nyc_gov_agency_directory,False,FALSE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_18,2025-12-10T10:40:51.135496,NYC_GOID_000017,Audit Committee,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
20251210-1540_Sprint-6A-snake-case-and-column-reorder_19,2025-12-10T10:40:51.135533,NYC_GOID_000018,Banking Commission,listed_in_nyc_gov_agency_directory,True,TRUE,System_GlobalRule,Standardized boolean format,,,Claude,FORMAT_BOOLEAN
