ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260430_184531_1,2026-04-30T18:45:32.783155,NYC_GOID_000361,Mayor's Office of Innovation and Emerging Markets,operational_status,Active,Inactive,admin_ui_edits.csv,,"Denise Felipe-Adams has reportedly been fired from the City, and Jonathan Salomons is no longer in the employee directory",https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_2,2026-04-30T18:45:32.783962,NYC_GOID_000190,Financial Information Services Agency,acronym,,FISA,admin_ui_edits.csv,,I see the office referred to as FISA most places I look. - htownley@oti.nyc.gov,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_3,2026-04-30T18:45:32.784716,NYC_GOID_100018,Mayor's Office to Prevent Gun Violence,acronym,Executive Director,OPGV,admin_ui_edits.csv,,I think there's a bug in current entry - htownley@oti.nyc.gov,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_4,2026-04-30T18:45:32.785426,NYC_GOID_000268,Mayor's Office of Ethnic and Community Media,principal_officer_full_name,Jd Michaels,,admin_ui_edits.csv,,Jd Michaels has reportedly been moved to DCAS.,https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_5,2026-04-30T18:45:32.786194,NYC_GOID_000268,Mayor's Office of Ethnic and Community Media,principal_officer_first_name,Jd,,admin_ui_edits.csv,,Jd Michaels has reportedly been moved to DCAS.,https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_6,2026-04-30T18:45:32.786941,NYC_GOID_000268,Mayor's Office of Ethnic and Community Media,principal_officer_last_name,Michaels,,admin_ui_edits.csv,,Jd Michaels has reportedly been moved to DCAS.,https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_7,2026-04-30T18:45:32.787697,NYC_GOID_000293,Mayor's Public Engagement Unit,principal_officer_full_name,Adrienne Lever,Isolina De La Cruz,admin_ui_edits.csv,,Acting Executive Director - objornsson@oti.nyc.gov,https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_8,2026-04-30T18:45:32.788435,NYC_GOID_000293,Mayor's Public Engagement Unit,principal_officer_title,Executive Director,Acting Executive Director,admin_ui_edits.csv,,Acting Executive Director - objornsson@oti.nyc.gov,https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_9,2026-04-30T18:45:32.789163,NYC_GOID_000293,Mayor's Public Engagement Unit,principal_officer_first_name,Adrienne,Isolina,admin_ui_edits.csv,,Acting Executive Director - objornsson@oti.nyc.gov,https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260430_184531_10,2026-04-30T18:45:32.789912,NYC_GOID_000293,Mayor's Public Engagement Unit,principal_officer_last_name,Lever,De La Cruz,admin_ui_edits.csv,,Acting Executive Director - objornsson@oti.nyc.gov,https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page,@tlau-oti via NYCGO Admin UI,direct_set
