record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000010,Age Friendly Commission,Name - MOA,"Set to ""Age-friendly Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000014,"Archives, Reference and Research Advisory Board",Name - MOA,"Set to ""Archives, Reference and Research Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000016,Atlantic Yards Community Development Corporation,Name - MOA,"Set to ""Atlantic Yards Community Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000018,Banking Commission,Name - MOA,"Set to ""Banking Commission - Department of Finance""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000021,Board of Correction,Name - MOA,"Set to ""Board of Correction""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000022,Board of Education Retirement System,Name - MOA,"Set to ""Board of Education Retirement System""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000024,Board of Health,Name - MOA,"Set to ""Board of Health""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000025,Board of Standards and Appeals,Name - MOA,"Set to ""Board of Standards & Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000034,Brooklyn Bridge Park Corporation,Name - MOA,"Set to ""Brooklyn Bridge Park Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,Name - MOA,"Set to ""Brooklyn Bridge Park Development Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,Name - MOA,"Set to ""Brooklyn Navy Yard Development Corp""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000038,Brooklyn Public Library,Name - MOA,"Set to ""Brooklyn Public Library - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000042,Campaign Finance Board,Name - MOA,"Set to ""Campaign Finance Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000048,Central Park Conservancy,Name - MOA,"Set to ""Central Park Conservancy - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000058,Child Fatality Review Advisory Team,Name - MOA,"Set to ""Child Fatality Review Advisory Team""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000096,City Commission on Human Rights,Name - MOA,"Set to ""Commission on Human Rights""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000098,City Planning Commission,Name - MOA,"Set to ""City Planning Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000099,City University of New York,Name - MOA,"Set to ""City University of New York - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000100,City University Construction Fund,Name - MOA,"Set to ""City University Construction Fund - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000103,Civil Service Commission,Name - MOA,"Set to ""Civil Service Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000105,Civilian Complaint Review Board,Name - MOA,"Set to ""Civilian Complaint Review Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000106,Climate Change Adaptation Taskforce,Name - MOA,"Set to ""Climate Change Adaptation Task Force""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000111,Commission on Gender Equity,Name - MOA,"Set to ""Commission on Gender Equity""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000112,Commission on Public Information and Communication,Name - MOA,"Set to ""Commission on Public Information and Communication""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000116,Community Action Board at the NYC Department of Youth and Community Development,Name - MOA,"Set to ""Community Action Board - Dept. of Youth and Community Development""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000121,Community Services Board - Mental Health Subcommittee,Name - MOA,"Set to ""Community Services Board (Mental Hygiene Advisory Board)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000124,Conflicts of Interest Board,Name - MOA,"Set to ""Conflicts of Interest Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000125,Convention Center Development Corporation,Name - MOA,"Set to ""Convention Center Development Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000126,Convention Center Operating Corporation (Javits),Name - MOA,"Set to ""Convention Center Operation Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000127,Council for Airport Opportunity,Name - MOA,"Set to ""Council for Airport Opportunity Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000130,Cultural Institutions Retirement System,Name - MOA,"Set to ""Cultural Institutions Representatives""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000133,Deferred Compensation Board,Name - MOA,"Set to ""Deferred Compensation Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000174,Domestic Violence Fatality Review Committee,Name - MOA,"Set to ""Domestic Violence Fatality Review Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000177,Economic Development Corporation,Name - MOA,"Set to ""NYC Economic Development Corporation Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000182,Environmental Control Board,Name - MOA,"Set to ""Environmental Control Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000185,Equal Employment Practices Commission,Name - MOA,"Set to ""Equal Employment Practices Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000190,Financial Information Services Agency,Name - MOA,"Set to ""Financial Information Services - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000192,Fire Department Pension Fund and Related Funds,Name - MOA,"Set to ""Fire Department Pension Fund Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000195,Food Service Establishment Advisory Board,Name - MOA,"Set to ""Food Service Establishment Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000197,Franchise and Concession Review Committee,Name - MOA,"Set to ""Franchise and Concession Review Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000208,GrowNYC,Name - MOA,"Set to ""GrowNYC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000213,HIV Planning Council,Name - MOA,"Set to ""HIV Health and Human Services Planning Council""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000214,HIV/AIDS Services Advisory Board,Name - MOA,"Set to ""HIV / AIDS Services Administration (HASA) Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000215,Housing Development Corporation,Name - MOA,"Set to ""Housing Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000218,Hudson River Park Trust,Name - MOA,"Set to ""Hudson River Park Trust - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000221,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,Name - MOA,"Set to ""Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000224,Industrial Development Agency,Name - MOA,"Set to ""Industrial Development Agency""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000230,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",Name - MOA,"Set to ""Jamaica Bay - Rockaway Parks Conservancy, Inc.""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000235,Land Development Corporation,Name - MOA,"Set to ""NYC Land Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000236,Landmarks Preservation Commission,Name - MOA,"Set to ""Landmarks Preservation Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000237,Latin Media and Entertainment Commission,Name - MOA,"Set to ""Latin Media and Entertainment Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000240,New York City Loft Board,Name - MOA,"Set to ""Loft Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000241,Lower Manhattan Development Corporation,Name - MOA,"Set to ""Lower Manhattan Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000245,Mayor's Advisory Committee on the Judiciary,Name - MOA,"Set to ""Mayor's Advisory Committee on the Judiciary""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
