record_id,record_name,field_name,action,justification,evidence_url
100430,Sustainability Advisory Board,authorizing_authority_type,"Set to ""NYC Charter""",Charter-mandated entity per citation standards,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6574
100430,Sustainability Advisory Board,appointments_summary,"Set to ""Members appointed by Mayor, including at minimum representatives from environmental, environmental justice, urban planning, architecture, engineering, coastal protection, construction, critical infrastructure, labor, business, energy, and academic sectors. Also includes Speaker of City Council or designee and Chairperson of Council Committee on Environmental Protection or designee.""",Charter-defined appointment mechanism per NYC Charter §20(g). Mayor appoints members with minimum sector representation requirements. Speaker of Council and Council Environmental Protection Committee Chair (or designees) serve ex officio.Charter §20(g),https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6574
100018,Banking Commission,description,"Set to ""The Banking Commission designates banks authorized to hold City funds, recommends interest rates for early/late real estate tax payments to City Council, and administers the Banking Development District program to encourage bank branches in underserved neighborhoods.""","Charter-defined commission established by NYC Charter §1524. Three-member commission: Mayor (Chair), Comptroller, and Commissioner of Finance. Administratively supported by DOF Treasury Division.Charter §1524: Recent activity (May 2025)",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
100018,Banking Commission,authorizing_authority,"Set to ""NYC Charter § 1524""","Charter-defined commission. NYC Charter §1524 establishes Banking Commission composition, powers to designate deposit banks and set banking standards",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
100018,Banking Commission,authorizing_url,"Set to ""https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715""",NYC Charter § 1524 - Banking Commission legal authority,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
100018,Banking Commission,authorizing_authority_type,"Set to ""NYC Charter""",Charter-mandated commission per citation standards,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
100018,Banking Commission,appointments_summary,"Set to ""Three-member commission: Mayor (Chair), Comptroller, and Commissioner of Finance""",Charter-defined commission composition. Mayor serves as Chair; Comptroller and Commissioner of Finance are ex officio members.Charter §1524 and notes field,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
100018,Banking Commission,governance_structure,"Set to ""Three-member Charter commission: Mayor (Chair), Comptroller, and Commissioner of Finance. Administratively supported by DOF Treasury Division but legally distinct from DOF""",Charter-defined commission governance structure. Commission composition and administrative support relationship. Powers and operational details captured in description field. Historical meeting records and evidence not included as notes field not in published schema,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6715
NYC_GOID_000010,Age Friendly Commission,Name - MOA,"Set to ""Age-friendly Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000014,"Archives, Reference and Research Advisory Board",Name - MOA,"Set to ""Archives, Reference and Research Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
