Row(s),Column,feedback
_SYSTEM_ACTION,_SYSTEM_ACTION,Delete RecordID NYC_GOID_000051
NYC_GOID_000361,principal_officer_full_name,"Change to ""Denise Felipe-Adams and Jonathan Salomons"""
NYC_GOID_000246,principal_officer_full_name,"Change to ""Camille Joseph Varlack"""
NYC_GOID_000246,principal_officer_last_name,"Change to ""Joseph Varlack"""
NYC_GOID_000062,principal_officer_first_name,"Change to ""Tamara"""
NYC_GOID_000063,principal_officer_first_name,"Change to ""Adrian"""
NYC_GOID_000064,principal_officer_first_name,"Change to ""Atiba"""
NYC_GOID_000067,principal_officer_first_name,"Change to ""Patrick"""
NYC_GOID_000068,principal_officer_first_name,"Change to ""Ellen"""
NYC_GOID_000073,principal_officer_first_name,"Change to ""Stephanie"""
NYC_GOID_000074,principal_officer_first_name,"Change to ""Jack"""
NYC_GOID_000076,principal_officer_first_name,"Change to ""Aziz"""
NYC_GOID_000079,principal_officer_first_name,"Change to ""Michael"""
NYC_GOID_000080,principal_officer_first_name,"Change to ""Lisa"""
NYC_GOID_000081,principal_officer_first_name,"Change to ""Connie"""
NYC_GOID_000083,principal_officer_first_name,"Change to ""Evie"""
NYC_GOID_000084,principal_officer_first_name,"Change to ""Sally"""
NYC_GOID_000085,principal_officer_first_name,"Change to ""Taryn"""
NYC_GOID_000086,principal_officer_first_name,"Change to ""Jessica"""
NYC_GOID_000087,principal_officer_first_name,"Change to ""Dina"""
NYC_GOID_000088,principal_officer_first_name,"Change to ""Jessica"""
NYC_GOID_000089,principal_officer_first_name,"Change to ""Janice"""
NYC_GOID_000090,principal_officer_first_name,"Change to ""Ken"""
NYC_GOID_000092,principal_officer_first_name,"Change to ""Ray"""
NYC_GOID_000100,principal_officer_first_name,"Change to ""Mohamed"""
NYC_GOID_000127,principal_officer_first_name,"Change to ""Andrew"""
NYC_GOID_000133,principal_officer_first_name,"Change to ""Sharon"""
NYC_GOID_000181,principal_officer_first_name,"Change to ""Jennifer"""
NYC_GOID_000182,principal_officer_first_name,"Change to ""Asim"""
NYC_GOID_000183,principal_officer_first_name,"Change to ""Peggy"""
NYC_GOID_000190,principal_officer_first_name,"Change to ""Neil"""
NYC_GOID_000198,principal_officer_first_name,"Change to ""Stephen"""
NYC_GOID_000201,principal_officer_first_name,"Change to ""Robert"""
NYC_GOID_000206,principal_officer_first_name,"Change to ""Steven"""
NYC_GOID_000214,principal_officer_first_name,"Change to ""Guillermo"""
NYC_GOID_000219,principal_officer_first_name,"Change to ""Andy"""
NYC_GOID_000314,principal_officer_first_name,"Change to ""Dennis"""
NYC_GOID_000330,principal_officer_first_name,"Change to ""Andrew"""
NYC_GOID_000333,principal_officer_first_name,"Change to ""Jamie"""
NYC_GOID_000391,principal_officer_first_name,"Change to ""Louise"""
NYC_GOID_000452,principal_officer_first_name,"Change to ""Robert"""
NYC_GOID_000456,principal_officer_first_name,"Change to ""Wendy"""
NYC_GOID_100015,principal_officer_first_name,"Change to ""Lexy"""
NYC_GOID_100020,principal_officer_first_name,"Change to ""Jeanene"""
NYC_GOID_100017,principal_officer_first_name,"Change to ""Jeffrey"""
NYC_GOID_100024,principal_officer_first_name,"Change to ""Robert"""
NYC_GOID_000062,principal_officer_last_name,"Change to ""McCaw"""
NYC_GOID_000063,principal_officer_last_name,"Change to ""Benepe"""
NYC_GOID_000064,principal_officer_last_name,"Change to ""Edwards"""
NYC_GOID_000067,principal_officer_last_name,"Change to ""Charpenel"""
NYC_GOID_000068,principal_officer_last_name,"Change to ""Kodadek"""
NYC_GOID_000073,principal_officer_last_name,"Change to ""Hill Wilchfort"""
NYC_GOID_000074,principal_officer_last_name,"Change to ""Kliger"""
NYC_GOID_000076,principal_officer_last_name,"Change to ""Isham"""
NYC_GOID_000079,principal_officer_last_name,"Change to ""Rosenberg"""
NYC_GOID_000080,principal_officer_last_name,"Change to ""Gugenheim"""
NYC_GOID_000081,principal_officer_last_name,"Change to ""Butler"""
NYC_GOID_000083,principal_officer_last_name,"Change to ""Hantzopoulos"""
NYC_GOID_000084,principal_officer_last_name,"Change to ""Tallant"""
NYC_GOID_000085,principal_officer_last_name,"Change to ""Sacramone"""
NYC_GOID_000086,principal_officer_last_name,"Change to ""Baker Vodoor"""
NYC_GOID_000087,principal_officer_last_name,"Change to ""Rosenthal"""
NYC_GOID_000088,principal_officer_last_name,"Change to ""Phillips"""
NYC_GOID_000089,principal_officer_last_name,"Change to ""Monger"""
NYC_GOID_000090,principal_officer_last_name,"Change to ""Mitchell"""
NYC_GOID_000092,principal_officer_last_name,"Change to ""Oladapo-Johnson"""
NYC_GOID_000100,principal_officer_last_name,"Change to ""Attalla"""
NYC_GOID_000127,principal_officer_last_name,"Change to ""Campbell"""
NYC_GOID_000133,principal_officer_last_name,"Change to ""Lukacs"""
NYC_GOID_000181,principal_officer_last_name,"Change to ""Maldonado"""
