Row(s),Column,feedback
NYC_GOID_000047,principal_officer_given_name,"Set to ""Maryanne"""
NYC_GOID_000252,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000276,principal_officer_full_name,"Set to """""
NYC_GOID_000276,principal_officer_given_name,"Set to """""
NYC_GOID_000276,principal_officer_family_name,"Set to """""
NYC_GOID_000281,principal_officer_full_name,"Set to ""Doug Lipari"""
NYC_GOID_000281,principal_officer_given_name,"Set to ""Doug"""
NYC_GOID_000281,principal_officer_family_name,"Set to ""Lipari"""
NYC_GOID_000281,principal_officer_title,"Set to ""Acting Executive Director"""
NYC_GOID_000280,principal_officer_full_name,"Set to """""
NYC_GOID_000280,principal_officer_given_name,"Set to """""
NYC_GOID_000280,principal_officer_family_name,"Set to """""
NYC_GOID_100008,principal_officer_full_name,"Set to """""
NYC_GOID_100008,principal_officer_given_name,"Set to """""
NYC_GOID_100008,principal_officer_family_name,"Set to """""
NYC_GOID_000468,principal_officer_full_name,"Set to """""
NYC_GOID_000468,principal_officer_given_name,"Set to """""
NYC_GOID_000468,principal_officer_family_name,"Set to """""
NYC_GOID_000042,principal_officer_full_name,"Set to ""Frederick Schaffer"""
NYC_GOID_000025,principal_officer_full_name,"Set to ""Shampa Chanda"""
NYC_GOID_000050,principal_officer_given_name,"Set to ""Alec"""
NYC_GOID_000050,principal_officer_family_name,"Set to ""Schierenbeck"""
NYC_GOID_000143,principal_officer_full_name,"Set to ""Melissa Aviles-Ramos"""
NYC_GOID_000247,principal_officer_given_name,"Set to ""Andrew"""
NYC_GOID_000247,principal_officer_family_name,"Set to ""Rendeiro"""
NYC_GOID_000109,principal_officer_full_name,"Set to ""Marnie L. Blit"""
NYC_GOID_000109,principal_officer_given_name,"Set to ""Marnie"""
NYC_GOID_000109,principal_officer_family_name,"Set to ""Blit"""
NYC_GOID_000109,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000103,principal_officer_full_name,"Set to ""Amanda M. Wismans"""
NYC_GOID_000103,principal_officer_given_name,"Set to ""Amanda"""
NYC_GOID_000103,principal_officer_family_name,"Set to ""Wismans"""
NYC_GOID_000103,principal_officer_title,"Set to ""Executive Director and General Counsel"""
NYC_GOID_000138,PrincipalOfficerContactURL,"Set to ""https://www.nyc.gov/site/dcas/about/email-the-commissioner.page"""
NYC_GOID_000144,PrincipalOfficerContactURL,"Set to ""https://www.nyc.gov/site/dep/about/email-the-commissioner.page"""
NYC_GOID_000150,PrincipalOfficerContactURL,"Set to ""https://www.nyc.gov/site/probation/about/email-the-commissioner.page"""
NYC_GOID_000316,PrincipalOfficerContactURL,"Set to ""https://mynycers.nycers.org/MyNYCERS/s/ED-Correspondence"""
NYC_GOID_000390,PrincipalOfficerContactURL,"Set to ""https://www.nyc.gov/content/nycppf/pages/contact-the-fund"""
NYC_GOID_000436,PrincipalOfficerContactURL,"Set to ""https://www.nyc.gov/site/tlc/about/email-the-commissioner.page"""
NYC_GOID_000003,url,"Set to """""
NYC_GOID_000006,url,"Set to """""
NYC_GOID_000047,principal_officer_full_name,"Set to ""Maryanne Schretzman"""
