Row(s),Column,feedback,reason
NYC_GOID_000003,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000005,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000006,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000010,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000016,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000019,operational_status,"Set to Dissolved""""",Advisory committee that disolves after its final report is issued. Final report issued here: https://www.nyc.gov/assets/tlc/downloads/pdf/black-car-and-livery-task-force-report-2021.pdf
NYC_GOID_000036,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000043,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000044,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000056,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000058,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000095,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000107,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000108,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000110,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000112,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000115,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000128,url,"Set to """,No active website for this office
NYC_GOID_000128,PrincipalOfficerContactURL,"Set to """,No active website for this office
NYC_GOID_000130,organization_type,"Set to Pension Fund""""",Corrected organizational type field.
NYC_GOID_000133,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000180,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000183,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000194,organization_type,"Set to Nonprofit Organization""""",Corrected organizational type field.
NYC_GOID_000195,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000197,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000200,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000203,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000209,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000212,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000219,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000231,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000232,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000237,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000239,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000243,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000244,PrincipalOfficerFullName,"Set to """,Position currently vacant
NYC_GOID_000244,PrincipalOfficerGivenName,"Set to """,Position currently vacant
NYC_GOID_000244,PrincipalOfficerFamilyName,"Set to """,Position currently vacant
NYC_GOID_000249,operational_status,"Set to Excluded""""",Record set to excluded because published dataset does not generally include a separate record for Boards of other organizations that are in the dataset.
NYC_GOID_000296,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000298,url,"Set to """,No active website for this office
NYC_GOID_000298,PrincipalOfficerContactURL,"Set to """,No active contact url for this office
NYC_GOID_000333,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000337,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000339,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000340,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000341,operational_status,"Set to Excluded""""",Record set to excluded because published dataset does not generally include a separate record for Boards of other organizations that are in the dataset.
NYC_GOID_000345,organization_type,"Set to Advisory or Regulatory Organization""""",Changed to reflect more accurate organization_type
NYC_GOID_000362,name,"Set to Mayor's Office of Civic Engagement""""",Changed to reflect current preferred name
