Row(s),Column,feedback
NYC_GOID_000287,name,"Set to ""Mayor's Office of Risk Management and Compliance"""
NYC_GOID_000000,acronym,"Set to ""311"""
NYC_GOID_000000,principal_officer_contact_url,"Set to ""https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer"""
NYC_GOID_000000,NameAlphabetized,"Set to ""NYC311"""
NYC_GOID_000099,principal_officer_last_name,"Set to ""Matos Rodriguez"""
NYC_GOID_000138,budget_code,"Set to ""857"""
NYC_GOID_000026,budget_code,"Set to ""011"""
NYC_GOID_000027,budget_code,"Set to ""012"""
NYC_GOID_000028,budget_code,"Set to ""010"""
NYC_GOID_000029,budget_code,"Set to ""013"""
NYC_GOID_000030,budget_code,"Set to ""014"""
NYC_GOID_000139,principal_officer_last_name,"Set to ""Vera Mayuga"""
NYC_GOID_000143,principal_officer_last_name,"Set to ""Aviles-Ramos"""
NYC_GOID_000154,principal_officer_last_name,"Set to ""Wasow Park"""
NYC_GOID_000168,principal_officer_title,"Set to ""District Attorney"""
NYC_GOID_000171,principal_officer_title,"Set to ""District Attorney"""
NYC_GOID_000190,principal_officer_full_name,"Set to ""Neil Matthew"""
NYC_GOID_000190,principal_officer_first_name,"Set to ""Neil"""
NYC_GOID_000190,principal_officer_last_name,"Set to ""Matthew"""
NYC_GOID_000190,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000244,principal_officer_title,"Set to ""Director"""
NYC_GOID_000245,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000246,principal_officer_last_name,"Set to ""Joseph Varlack"""
NYC_GOID_000377,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000138,principal_officer_title,"Set to ""Commissioner"""
NYC_GOID_000052,principal_officer_title,"Set to ""Chief Climate Officer"""
NYC_GOID_000258,principal_officer_title,"Set to ""Chief Administrative Officer"""
NYC_GOID_000265,principal_officer_title,"Set to ""Director"""
NYC_GOID_000287,principal_officer_title,"Set to ""Director"""
NYC_GOID_000310,principal_officer_title,"Set to ""President and CEO"""
NYC_GOID_000328,principal_officer_title,"Set to ""Chief Service Officer"""
NYC_GOID_000351,name,"Set to ""Mayor's Office for Childcare and Early Childhood Education"""
NYC_GOID_000361,name,"Set to ""Mayor's Office of Innovation and Emerging Markets"""
NYC_GOID_000362,name,"Set to ""Mayor's Office of Engagement"""
NYC_GOID_000363,name,"Set to ""Mayor's Office of Environmental Coordination"""
NYC_GOID_000364,name,"Set to ""Mayor's Office of Environmental Remediation"""
NYC_GOID_000374,name,"Set to ""Mayor's Office of Management and Budget"""
NYC_GOID_000396,name_alphabetized,"Set to ""Public Advocate"""
NYC_GOID_000123,name_alphabetized,"Set to ""Comptroller"""
NYC_GOID_000096,name_alphabetized,"Set to ""City Commission on Human Rights"""
NYC_GOID_100001,name_alphabetized,"Set to ""Borough Boards"""
NYC_GOID_000226,alternate_or_former_acronyms,"Set to ""IGA"""
NYC_GOID_000052,principal_officer_contact_url,"Set to ""https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page"""
