RecordID,Name,NameAlphabetized,OperationalStatus,OrganizationType,Description,URL,AlternateOrFormerNames,Acronym,AlternateOrFormerAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NYC.gov Agency Directory,Jan 2025 Org Chart,PrincipalOfficerFullName,PrincipalOfficerGivenName,PrincipalOfficerMiddleNameOrInitial,PrincipalOfficerFamilyName,PrincipalOfficerSuffix,InOrgChart,ReportsTo,ReportingNotes
NYC_GOID_300201,Bronx Community Board 1,"Community Board 01, Bronx",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/bronxcb1/index.page,,CB,,,,1951,Clarisa M. Alayeto,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300210,Bronx Community Board 10,"Community Board 10, Bronx",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/bronxcb10/index.page,,CB,,,,1951,Joseph Russo,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300209,Bronx Community Board 9,"Community Board 09, Bronx",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",http://www.nyc.gov/html/bxcb9/html/home/home.shtml,,CB,,,,1951,Mohammed Mujumder,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300206,Bronx Community Board 6,"Community Board 06, Bronx",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://cbbronx.cityofnewyork.us/cb6/,,CB,,,,1951,Evonne Capers,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300501,Staten Island Community Board 1,"Community Board 01, Staten Island",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",http://www.nyc.gov/sicb1,,CB,,,,1951,Nicholas Siclari,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300401,Queens Community Board 1,"Community Board 01, Queens",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/queenscb1/index.page,,CB,,,,1951,Marie Torniali,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300307,Brooklyn Community Board 7,"Community Board 07, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",http://www1.nyc.gov/site/brooklyncb7/index.page,,CB,,,,1951,Julio Peña III,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300106,Manhattan Community Board 6,"Community Board 06, Manhattan",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",http://cbsix.org/,,CB,,,,1951,Sandra McKee,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300305,Brooklyn Community Board 5,"Community Board 05, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www.brooklyncb5.org/,,CB,,,,1951,Alice Lowman,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300402,Queens Community Board 2,"Community Board 02, Queens",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/queenscb2/index.page,,CB,,,,1951,Anatole Ashraf,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300303,Brooklyn Community Board 3,"Community Board 03, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/brooklyncb3/index.page,,CB,,,,1951,Anthony Buissereth,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300306,Brooklyn Community Board 6,"Community Board 06, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",http://www1.nyc.gov/site/brooklyncb6/index.page,,CB,,,,1951,Eric McClure,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300404,Queens Community Board 4,"Community Board 04, Queens",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/queenscb4/index.page,,CB,,,,1951,Marialena Giampino,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300502,Staten Island Community Board 2,"Community Board 02, Staten Island",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/statenislandcb2/index.page,,CB,,,,1951,Fred R. Guinta,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300304,Brooklyn Community Board 4,"Community Board 04, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/brooklyncb4/index.page,,CB,,,,1951,Robert Camacho,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300203,Bronx Community Board 3,"Community Board 03, Bronx",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www1.nyc.gov/site/bronxcb3/index.page,,CB,,,,1951,Rev. Frederick Crawford,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
NYC_GOID_300308,Brooklyn Community Board 8,"Community Board 08, Brooklyn",Active,Advisory or Regulatory Organization,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www.brooklyncb8.org/,,CB,,,,1951,Irsa Weatherspoon,Chair,,,,Community Boards (CB),,,,,,,,Community Boards (CB),Community Boards,TRUE,TRUE,,,,,,,,
