Row(s),Column,feedback
NYC_GOID_100008,Name - Ops,Set to "Creative Communications"
NYC_GOID_000192,Name - Ops,Set to "FDNY Department Pension Fund"
NYC_GOID_100006,Name - Ops,Set to "Mayor's Office of Urban Agriculture"
NYC_GOID_100002,Name - Ops,Set to "NYC Office of the Special Narcotics Prosecutor"
NYC_GOID_000310,Name - Ops,Set to "NYC & Company;New York City Tourism and Conventions (formerly known New York City & Company Board)"
NYC_GOID_100009,Name - Ops,Set to "Office of the City Clerk"
NYC_GOID_100005,Name - Ops,Set to "Sheriff"
NYC_GOID_100003,Name - Ops,Set to "The Unity Project"
NYC_GOID_100001,OrganizationType,Set to "Advisory or Regulatory Organization"
_SYSTEM_ACTION,_SYSTEM_ACTION,Append records from CSV new_records_from_ops_to_append_20250611.csv
