Row(s),Column,feedback
NYC_GOID_000287,Name,"Set to ""Mayor's Office of Risk Management and Compliance"""
NYC_GOID_000000,Acronym,"Set to ""311"""
NYC_GOID_000000,PrincipalOfficerContactUrl,"Set to ""https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer"""
NYC_GOID_000000,NameAlphabetized,"Set to ""NYC311"""
NYC_GOID_000099,PrincipalOfficerLastName,"Set to ""Matos Rodriguez"""
NYC_GOID_000138,BudgetCode,"Set to ""857"""
NYC_GOID_000026,BudgetCode,"Set to ""011"""
NYC_GOID_000027,BudgetCode,"Set to ""012"""
NYC_GOID_000028,BudgetCode,"Set to ""010"""
NYC_GOID_000029,BudgetCode,"Set to ""013"""
NYC_GOID_000030,BudgetCode,"Set to ""014"""
NYC_GOID_000139,PrincipalOfficerLastName,"Set to ""Vera Mayuga"""
NYC_GOID_000143,PrincipalOfficerLastName,"Set to ""Aviles-Ramos"""
NYC_GOID_000154,PrincipalOfficerLastName,"Set to ""Wasow Park"""
NYC_GOID_000168,PrincipalOfficerTitle,"Set to ""District Attorney"""
NYC_GOID_000171,PrincipalOfficerTitle,"Set to ""District Attorney"""
NYC_GOID_000190,PrincipalOfficerFullName,"Set to ""Neil Matthew"""
NYC_GOID_000190,PrincipalOfficerFirstName,"Set to ""Neil"""
NYC_GOID_000190,PrincipalOfficerLastName,"Set to ""Matthew"""
NYC_GOID_000190,PrincipalOfficerTitle,"Set to ""Executive Director"""
NYC_GOID_000244,PrincipalOfficerTitle,"Set to ""Director"""
NYC_GOID_000245,PrincipalOfficerTitle,"Set to ""Executive Director"""
NYC_GOID_000246,PrincipalOfficerLastName,"Set to ""Joseph Varlack"""
NYC_GOID_000377,PrincipalOfficerTitle,"Set to ""Executive Director"""
NYC_GOID_000138,PrincipalOfficerTitle,"Set to ""Commissioner"""
NYC_GOID_000052,PrincipalOfficerTitle,"Set to ""Chief Climate Officer"""
NYC_GOID_000258,PrincipalOfficerTitle,"Set to ""Chief Administrative Officer"""
NYC_GOID_000265,PrincipalOfficerTitle,"Set to ""Director"""
NYC_GOID_000287,PrincipalOfficerTitle,"Set to ""Director"""
NYC_GOID_000310,PrincipalOfficerTitle,"Set to ""President and CEO"""
NYC_GOID_000328,PrincipalOfficerTitle,"Set to ""Chief Service Officer"""
NYC_GOID_000351,Name,"Set to ""Mayor's Office for Childcare and Early Childhood Education"""
NYC_GOID_000361,Name,"Set to ""Mayor's Office of Innovation and Emerging Markets"""
NYC_GOID_000362,Name,"Set to ""Mayor's Office of Engagement"""
NYC_GOID_000363,Name,"Set to ""Mayor's Office of Environmental Coordination"""
NYC_GOID_000364,Name,"Set to ""Mayor's Office of Environmental Remediation"""
NYC_GOID_000374,Name,"Set to ""Mayor's Office of Management and Budget"""
NYC_GOID_000396,NameAlphabetized,"Set to ""Public Advocate"""
NYC_GOID_000123,NameAlphabetized,"Set to ""Comptroller"""
NYC_GOID_000096,NameAlphabetized,"Set to ""City Commission on Human Rights"""
NYC_GOID_100001,NameAlphabetized,"Set to ""Borough Boards"""
NYC_GOID_000226,AlternateOrFormerAcronyms,"Set to ""IGA"""
NYC_GOID_000052,PrincipalOfficerContactUrl,"Set to ""https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page"""
