ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-11T14:02:30.256753,NYC_GOID_000026,Description,,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",v3_0_pipeline_run,direct_set
2,2025-06-11T14:02:30.257163,NYC_GOID_000027,Description,,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",v3_0_pipeline_run,direct_set
3,2025-06-11T14:02:30.257521,NYC_GOID_000028,Description,,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",v3_0_pipeline_run,direct_set
4,2025-06-11T14:02:30.257877,NYC_GOID_000029,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",v3_0_pipeline_run,direct_set
5,2025-06-11T14:02:30.258229,NYC_GOID_000030,Description,,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",v3_0_pipeline_run,direct_set
6,2025-06-11T14:02:30.258589,NYC_GOID_000240,Name,Loft Board,New York City Loft Board,supplemental_edits_v1.csv,"Set Name to ""New York City Loft Board""",v3_0_pipeline_run,direct_set
7,2025-06-11T14:02:30.258923,NYC_GOID_000278,Description,Community Action Board – Dept. of Youth and Community Development,,supplemental_edits_v1.csv,"Set Description to """"",v3_0_pipeline_run,direct_set
8,2025-06-11T14:02:30.259267,NYC_GOID_000050,Description,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.","The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",supplemental_edits_v1.csv,"Set Description to ""The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.""",v3_0_pipeline_run,direct_set
9,2025-06-11T14:02:30.259603,NYC_GOID_000312,AlternateOrFormerNames,NYC & Company,,supplemental_edits_v1.csv,"Set AlternateOrFormerNames to """"",v3_0_pipeline_run,direct_set
10,2025-06-11T14:02:30.259936,NYC_GOID_000248,Acronym,MAYORS FUND,,supplemental_edits_v1.csv,"Set Acronym to """"",v3_0_pipeline_run,direct_set
11,2025-06-11T14:02:30.260269,NYC_GOID_000234,Acronym,PANY,,supplemental_edits_v1.csv,"Set Acronym to """"",v3_0_pipeline_run,direct_set
12,2025-06-11T14:02:30.260619,NYC_GOID_000387,Acronym,,PEP,supplemental_edits_v1.csv,"Set Acronym to ""PEP""",v3_0_pipeline_run,direct_set
13,2025-06-11T14:02:30.260965,NYC_GOID_000387,AlternateOrFormerAcronyms,,,supplemental_edits_v1.csv,"Set AlternateOrFormerAcronyms to """"",v3_0_pipeline_run,direct_set
14,2025-06-11T14:02:30.261301,NYC_GOID_000276,AlternateOrFormerAcronyms,Mayor's Office of Policy and Planning and Delivery,,supplemental_edits_v1.csv,"Set AlternateOrFormerAcronyms to """"",v3_0_pipeline_run,direct_set
15,2025-06-11T14:02:30.261641,NYC_GOID_000276,AlternateOrFormerNames,,Mayor's Office of Policy and Planning and Delivery,supplemental_edits_v1.csv,"Set AlternateOrFormerNames to ""Mayor's Office of Policy and Planning and Delivery""",v3_0_pipeline_run,direct_set
16,2025-06-11T14:02:30.262111,NYC_GOID_000268,PrincipalOfficerName,Jose Bayona,Jd Michaels,supplemental_edits_v1.csv,"Set PrincipalOfficerName to ""Jd Michaels""",v3_0_pipeline_run,direct_set
17,2025-06-11T14:02:30.262524,NYC_GOID_000276,PrincipalOfficerName,Betsy MacClean,Sherif Soliman,supplemental_edits_v1.csv,"Set PrincipalOfficerName to ""Sherif Soliman""",v3_0_pipeline_run,direct_set
18,2025-06-11T14:02:30.262878,NYC_GOID_000276,InOrgChart,,TRUE,supplemental_edits_v1.csv,"Set InOrgChart to ""TRUE""",v3_0_pipeline_run,direct_set
19,2025-06-11T14:02:30.263237,NYC_GOID_100007,PrincipalOfficerName,Ryan Birchmeier,Kate Smart,supplemental_edits_v1.csv,"Set PrincipalOfficerName to ""Kate Smart""",v3_0_pipeline_run,direct_set
20,2025-06-11T14:02:30.263607,NYC_GOID_100010,PrincipalOfficerContactURL,,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,supplemental_edits_v1.csv,"Set PrincipalOfficerContactURL to ""https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer""",v3_0_pipeline_run,direct_set
21,2025-06-11T14:02:30.263954,NYC_GOID_100011,PrincipalOfficerContactURL,,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,supplemental_edits_v1.csv,"Set PrincipalOfficerContactURL to ""https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer""",v3_0_pipeline_run,direct_set
22,2025-06-11T14:02:30.264296,NYC_GOID_100012,PrincipalOfficerContactURL,,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,supplemental_edits_v1.csv,"Set PrincipalOfficerContactURL to ""https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer""",v3_0_pipeline_run,direct_set
23,2025-06-11T14:02:30.264632,NYC_GOID_000166,FoundingYear,,2023,supplemental_edits_v1.csv,"Set FoundingYear to ""2023""",v3_0_pipeline_run,direct_set
24,2025-06-11T14:02:30.264968,NYC_GOID_000112,FoundingYear,,1989,supplemental_edits_v1.csv,"Set FoundingYear to ""1989""",v3_0_pipeline_run,direct_set
25,2025-06-11T14:02:30.265308,NYC_GOID_000138,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Citywide+Administrative+Services+%28DCAS%29,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Citywide+Administrative+Services+%28DCAS%29""",v3_0_pipeline_run,direct_set
26,2025-06-11T14:02:30.265655,NYC_GOID_000269,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Food+Policy+%28MOFP%29,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Food+Policy+%28MOFP%29""",v3_0_pipeline_run,direct_set
27,2025-06-11T14:02:30.265990,NYC_GOID_000328,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Service,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Service""",v3_0_pipeline_run,direct_set
28,2025-06-11T14:02:30.266327,NYC_GOID_000377,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Payroll+Administration+%28OPA%29,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Payroll+Administration+%28OPA%29""",v3_0_pipeline_run,direct_set
29,2025-06-11T14:02:30.266667,NYC_GOID_000027,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Borough+President+%28BPBK%29,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Borough+President+%28BPBK%29""",v3_0_pipeline_run,direct_set
30,2025-06-11T14:02:30.267002,NYC_GOID_000028,OpenDatasetsURL,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Manhattan+Borough+President+%28MBPO%29,supplemental_edits_v1.csv,"Set OpenDatasetsURL to ""https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Manhattan+Borough+President+%28MBPO%29""",v3_0_pipeline_run,direct_set
