Status,RecordID,Name
Original_RecordID_Not_In_Processed,NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion
Original_RecordID_Not_In_Processed,NYC_GOID_000007,Advisory Council to the Department for the Aging
Original_RecordID_Not_In_Processed,NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part
Original_RecordID_Not_In_Processed,NYC_GOID_000017,Audit Committee
Original_RecordID_Not_In_Processed,NYC_GOID_000018,Banking Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000021,Board of Correction
Original_RecordID_Not_In_Processed,NYC_GOID_000022,Board of Education Retirement System
Original_RecordID_Not_In_Processed,NYC_GOID_000023,Board of Elections
Original_RecordID_Not_In_Processed,NYC_GOID_000024,Board of Health
Original_RecordID_Not_In_Processed,NYC_GOID_000025,Board of Standards and Appeals
Original_RecordID_Not_In_Processed,NYC_GOID_000034,Brooklyn Bridge Park Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000037,Brooklyn Navy Yard Development Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000042,Campaign Finance Board
Original_RecordID_Not_In_Processed,NYC_GOID_000045,Catskill Watershed Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000050,Charter Revision Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000098,City Planning Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000100,CUNY Construction Fund - Board of Trustees
Original_RecordID_Not_In_Processed,NYC_GOID_000103,Civil Service Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000112,Commission on Public Information and Communication
Original_RecordID_Not_In_Processed,NYC_GOID_000113,Commission on Racial Equity
Original_RecordID_Not_In_Processed,NYC_GOID_000118,Community Boards
Original_RecordID_Not_In_Processed,NYC_GOID_000127,Council for Airport Opportunity - Board of Directors
Original_RecordID_Not_In_Processed,NYC_GOID_000130,Cultural Institutions Retirement System - Board of Trustees
Original_RecordID_Not_In_Processed,NYC_GOID_000174,Domestic Violence Fatality Review Committee
Original_RecordID_Not_In_Processed,NYC_GOID_000181,Educational Construction Fund
Original_RecordID_Not_In_Processed,NYC_GOID_000182,Environmental Control Board
Original_RecordID_Not_In_Processed,NYC_GOID_000183,Environmental Justice Advisory Board
Original_RecordID_Not_In_Processed,NYC_GOID_000197,Franchise and Concession Review Committee
Original_RecordID_Not_In_Processed,NYC_GOID_000205,Green Economy Advisory Council
Original_RecordID_Not_In_Processed,NYC_GOID_000213,HIV Planning Council
Original_RecordID_Not_In_Processed,NYC_GOID_000214,HIV/AIDS Services Advisory Board
Original_RecordID_Not_In_Processed,NYC_GOID_000220,Hudson Yards Infrastructure Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000224,Industrial Development Agency
Original_RecordID_Not_In_Processed,NYC_GOID_000234,Kings County Public Administrator
Original_RecordID_Not_In_Processed,NYC_GOID_000235,Land Development Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000239,Local Conditional Release Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000240,Loft Board
Original_RecordID_Not_In_Processed,NYC_GOID_000241,Lower Manhattan Development Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000247,Mayor's Committee on City Marshals
Original_RecordID_Not_In_Processed,NYC_GOID_000249,Mayor's Fund Board of Advisors
Original_RecordID_Not_In_Processed,NYC_GOID_000276,Mayor's Office of Policy and Planning
Original_RecordID_Not_In_Processed,NYC_GOID_000277,Mayor's Office of Special Enforcement
Original_RecordID_Not_In_Processed,NYC_GOID_000280,Mayor's Office of Strategic Partnerships
Original_RecordID_Not_In_Processed,NYC_GOID_000283,Mayor's Office of Youth Employment
Original_RecordID_Not_In_Processed,NYC_GOID_000288,Mayor's Office - Senior Advisor and Director of Public Service Engagement
Original_RecordID_Not_In_Processed,NYC_GOID_000290,Mayor's Office - Senior Advisor to the Mayor
Original_RecordID_Not_In_Processed,NYC_GOID_000298,Mayor's Office of the Utility Consumer Advocate
Original_RecordID_Not_In_Processed,NYC_GOID_000308,Municipal Water Finance Authority
Original_RecordID_Not_In_Processed,NYC_GOID_000314,New York City Districting Commission
Original_RecordID_Not_In_Processed,NYC_GOID_000316,New York City Employee Retirement System
Original_RecordID_Not_In_Processed,NYC_GOID_000320,New York City Housing Authority Board
Original_RecordID_Not_In_Processed,NYC_GOID_000324,New York City Panel on Climate Change
Original_RecordID_Not_In_Processed,NYC_GOID_000330,New York City Transit Riders Council
Original_RecordID_Not_In_Processed,NYC_GOID_000331,New York City Transitional Finance Authority
Original_RecordID_Not_In_Processed,NYC_GOID_000333,New York Community Trust Distribution Committee
Original_RecordID_Not_In_Processed,NYC_GOID_000334,New York County Public Administrator
Original_RecordID_Not_In_Processed,NYC_GOID_000341,NYPD Pension Fund Board of Trustees
Original_RecordID_Not_In_Processed,NYC_GOID_000343,Office of the Actuary
Original_RecordID_Not_In_Processed,NYC_GOID_000345,Office of Administrative Tax Appeals
Original_RecordID_Not_In_Processed,NYC_GOID_000354,Office of Collective Bargaining
Original_RecordID_Not_In_Processed,NYC_GOID_000355,Office of Community Hiring
Original_RecordID_Not_In_Processed,NYC_GOID_000385,Mayor's Office for Prevention of Hate Crimes
Original_RecordID_Not_In_Processed,NYC_GOID_000387,Panel on Educational Policy
Original_RecordID_Not_In_Processed,NYC_GOID_000388,Pay Equity Cabinet
Original_RecordID_Not_In_Processed,NYC_GOID_000390,New York City Police Pension Fund
Original_RecordID_Not_In_Processed,NYC_GOID_000391,Primary Care Development Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000395,Bronx County Public Administrator
Original_RecordID_Not_In_Processed,NYC_GOID_000399,Office of the Public Realm
Original_RecordID_Not_In_Processed,NYC_GOID_000401,Public Administrator of Queens County
Original_RecordID_Not_In_Processed,NYC_GOID_000408,Rent Guidelines Board
Original_RecordID_Not_In_Processed,NYC_GOID_000412,Richmond County Public Administrator
Original_RecordID_Not_In_Processed,NYC_GOID_000415,Sales Tax Asset Receivable Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000418,Senior Advisory Council
Original_RecordID_Not_In_Processed,NYC_GOID_000425,Special Commissioner of Investigation for the New York City School District
Original_RecordID_Not_In_Processed,NYC_GOID_000433,Taskforce on Racial Inclusion and Equity
Original_RecordID_Not_In_Processed,NYC_GOID_000437,Teachers' Retirement System of City of New York
Original_RecordID_Not_In_Processed,NYC_GOID_000443,Three Quarter Housing Task Force
Original_RecordID_Not_In_Processed,NYC_GOID_000445,Tobacco Settlement Asset Securitization Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000450,"TSASC, Inc."
Original_RecordID_Not_In_Processed,NYC_GOID_000452,United Nations Development Corporation
Original_RecordID_Not_In_Processed,NYC_GOID_000456,Veterans Advisory Board
Original_RecordID_Not_In_Processed,NYC_GOID_000458,Voter Assistance Advisory Committee
Original_RecordID_Not_In_Processed,NYC_GOID_000459,Water Board
Original_RecordID_Not_In_Processed,NYC_GOID_000460,Waterfront Management Advisory Board
Original_RecordID_Not_In_Processed,NYC_GOID_000461,Workforce Development Board
Original_RecordID_Not_In_Processed,NYC_GOID_000471,Mayor's Office - Senior Adviser to the Mayor and Director of Scheduling
Original_RecordID_Not_In_Processed,NYC_GOID_000472,Mayor's Office - Senior Adviser for Severe Mental Illness
Original_RecordID_Not_In_Processed,NYC_GOID_000474,Director of Rodent Mitigation
Original_RecordID_Not_In_Processed,NYC_GOID_000476,Metropolitan Transportation Authority
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000149,Department of Parks and Recreation
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000202,Gracie Mansion Conservancy
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000248,Mayor's Fund to Advance New York City
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000256,Mayor's Office of Media and Research Analysis
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000275,Mayor's Office of Pensions and Investments
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000286,Mayor's Office to Protect Tenants
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000291,Mayor's Office of Speechwriting
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000292,Mayor's Press Office
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000306,Mayor's Office of Municipal Services Assessment
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000310,New York City Tourism + Conventions
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000337,Nightlife Advisory Board
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000349,Office of Capital Project Development
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000361,Office of Emerging Markets
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000362,Office of Engagement
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_000380,Office of Scheduling and Executive Operations
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100001,Borough Boards
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100002,Office of the Special Narcotics Prosecutor
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100003,Unity Project
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100004,NYC HER Future
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100005,Sheriff
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100006,Mayor's Office of Urban Agriculture
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100007,Director of Communications
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100008,Office of Creative Communications
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100010,Cyber Command
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100011,Office of Data Analytics
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_100012,Office of Information Privacy
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300101,Manhattan Community Board 1
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300102,Manhattan Community Board 2
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300103,Manhattan Community Board 3
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300104,Manhattan Community Board 4
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300105,Manhattan Community Board 5
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300106,Manhattan Community Board 6
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300107,Manhattan Community Board 7
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300108,Manhattan Community Board 8
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300109,Manhattan Community Board 9
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300110,Manhattan Community Board 10
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300111,Manhattan Community Board 11
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300112,Manhattan Community Board 12
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300201,Bronx Community Board 1
Processed_RecordID_Not_In_Original_Filtered,NYC_GOID_300202,Bronx Community Board 2
