Source,RecordID,Column,ColumnValue,Feedback,Decision,DecisionNotes
Ops,N/A,Name,Archival Review Board,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Board of Collective Bargaining ,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Brooklyn Public Library Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,BuildNYC,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Center for Brooklyn History (formerly known Brooklyn Historical Society),SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Chancellor,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Civil Service Commission Screening Committee,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Creative Communications,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Cultural Affairs Advisory Commission,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Economic Development Corporation Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,FDNY Department Pension Fund,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Fashion Institute of Technology - Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Health and Hospitals Corporation Board of Directors,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Intergovernmental Affairs - City Legislative Affairs,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Intergovernmental Affairs - Federal Legislative Affairs,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Intergovernmental Affairs - State Legislative Affairs,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,LGBTQIA+ Commission on Older Adults,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Mayor's Fund Board of Directors,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Mayor's Office of Nightlife,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Mayor's Office of Urban Agriculture,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Mayor's Office to Prevent Gun Violence,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Medical Equity Advisory Board,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Metropolitan Transportation Authority Board of Directors,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Multiple Dwellings Construction Task Force,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,NYC Office of the Special Narcotics Prosecutor,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,New York City Employees' Retirement System Pension Fund Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,New York City Tourism and Conventions (formerly known New York City & Company Board),SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office Conversions Task Force,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office of Faith-Based and Community Partnerships,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,"Office of Film, Theatre, & Broadcasting",SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office of Inspector General NYPD,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office of Payroll Administration Board,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office of the Chief Medical Examiner,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Office of the City Clerk,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Offshore Wind Advisory Council,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Queens Borough Public Library Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Queens Public Library,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,School Construction Authority - Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Sheriff,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Tax Appeals Tribunal,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Tax Commission,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Teachers' Retirement System Pension Fund Board of Trustees,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,The Unity Project,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Young Future Leaders Advisory Board,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Young Men's Initiative Advisory Board,SUGGEST_ADD: New record found in source.,,
Ops,N/A,Name,Youth Board (DYCD),SUGGEST_ADD: New record found in source.,,
Ops,NYC_GOID_000038,_SYSTEM,Brooklyn Public Library,SUGGEST_REVIEW_DELETE: Record not found in new source file.,,
Ops,NYC_GOID_000402,_SYSTEM,Queens Public Library; Queens Borough Public Library Board of Trustees,SUGGEST_REVIEW_DELETE: Record not found in new source file.,,
