RecordID,Column,GoldenValue,SourceValue
NYC_GOID_000000,Name,NYC311,311
NYC_GOID_000016,Name,Atlantic Yards Community Development Corporation,Atlantic Yards Community Development Corporation (AYCDC)
NYC_GOID_000026,Name,Office of the Borough President of The Bronx,Boro President Bronx
NYC_GOID_000027,Name,Office of the Borough President of Brooklyn,Boro President Brooklyn
NYC_GOID_000028,Name,Office of the Borough President of Manhattan,Boro President Manhattan
NYC_GOID_000029,Name,Office of the Borough President of Queens,Boro President Queens
NYC_GOID_000030,Name,Office of the Borough President of Staten Island,Boro President Staten Island
NYC_GOID_000059,Name,American Museum of Natural History,CIG - American Museum of Natural History
NYC_GOID_000060,Name,Bronx County Historical Society,CIG - Bronx County Historical Society
NYC_GOID_000061,Name,Bronx Museum of the Arts,CIG - Bronx Museum of the Arts
NYC_GOID_000062,Name,Brooklyn Academy of Music,CIG - Brooklyn Academy of Music (BAM)
NYC_GOID_000063,Name,Brooklyn Botanic Garden,CIG - Brooklyn Botanical Garden
NYC_GOID_000064,Name,Brooklyn Children's Museum,CIG - Brooklyn Children's Museum
NYC_GOID_000065,Name,Brooklyn Museum,CIG - Brooklyn Museum
NYC_GOID_000066,Name,Carnegie Hall,CIG - Carnegie Hall
NYC_GOID_000067,Name,El Museo del Barrio,CIG - El Museo del Barrio
NYC_GOID_000068,Name,Flushing Council on Culture and the Arts / Flushing Town Hall,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall
NYC_GOID_000069,Name,Jamaica Center for Arts & Learning,CIG - Jamaica Center for Arts and Learning
NYC_GOID_000070,Name,Jazz at Lincoln Center,CIG - Jazz at Lincoln Center
NYC_GOID_000071,Name,Lincoln Center Theater,CIG - Lincoln Center for the Performing Arts
NYC_GOID_000072,Name,Metropolitan Museum of Art,CIG - Metropolitan Museum of Art
NYC_GOID_000073,Name,Museum of the City of New York,CIG - Museum of the City of New York
NYC_GOID_000074,Name,Museum of Jewish Heritage,CIG - Museum of Jewish Heritage
NYC_GOID_000075,Name,Museum of Modern Art,CIG - Museum of Modern Art
NYC_GOID_000076,Name,Museum of the Moving Image,CIG - Museum of the Moving Image
NYC_GOID_000077,Name,New York Botanical Garden,CIG - New York Botanical Garden
NYC_GOID_000078,Name,New York City Ballet,CIG - New York City Ballet
NYC_GOID_000079,Name,New York City Center,CIG - New York City Center
NYC_GOID_000080,Name,New York Hall of Science,CIG - New York Hall of Science
