RecordID,SourceSystem,SourceColumn,SourceName
NYC_GOID_000000,Ops,Agency Name,311
NYC_GOID_000001,Ops,Agency Name,Accessory Sign Regulation Interagency Task Force
NYC_GOID_000002,Ops,Agency Name,Administration for Children's Services
NYC_GOID_000003,Ops,Agency Name,Advisory Board on Implementation of Racial Justice Charter Amendments
NYC_GOID_000004,Ops,Agency Name,Advisory Commission on Property Tax Reform
NYC_GOID_000005,Ops,Agency Name,Advisory Committee on Female Genital Mutilation and Cutting
NYC_GOID_000006,Ops,Agency Name,Advisory Council to the Center for Workplace Accessibility and Inclusion
NYC_GOID_000008,Ops,Agency Name,Advisory Council for the NYC Civil Court Housing Part
NYC_GOID_000009,Ops,Agency Name,Advisory Council on Procurement Lobbying
NYC_GOID_000010,Ops,Agency Name,Age Friendly Commission
NYC_GOID_000011,Ops,Agency Name,Algorithm Advisory Committee
NYC_GOID_000012,Ops,Agency Name,Animal Care Centers of NYC
NYC_GOID_000014,Ops,Agency Name,"Archives, Reference and Research Advisory Board "
NYC_GOID_000016,Ops,Agency Name,Atlantic Yards Community Development Corporation (AYCDC)
NYC_GOID_000017,Ops,Agency Name,Audit Committee
NYC_GOID_000018,Ops,Agency Name,Banking Commission
NYC_GOID_000019,Ops,Agency Name,Black Car and Livery Task Force
NYC_GOID_000021,Ops,Agency Name,Board of Correction
NYC_GOID_000023,Ops,Agency Name,Board of Elections
NYC_GOID_000024,Ops,Agency Name,Board of Health
NYC_GOID_000025,Ops,Agency Name,Board of Standards and Appeals
NYC_GOID_000026,Ops,Agency Name,Boro President Bronx
NYC_GOID_000027,Ops,Agency Name,Boro President Brooklyn
NYC_GOID_000028,Ops,Agency Name,Boro President Manhattan
NYC_GOID_000029,Ops,Agency Name,Boro President Queens
NYC_GOID_000030,Ops,Agency Name,Boro President Staten Island
NYC_GOID_000034,Ops,Agency Name,Brooklyn Bridge Park Corporation
NYC_GOID_000035,Ops,Agency Name,Brooklyn Bridge Park Development Corporation
