RecordID,Column,Feedback
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Archival Review Board'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Board of Collective Bargaining '
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Brooklyn Public Library Board of Trustees'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'BuildNYC'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'CIG - Staten Island Children’s Museum'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Catskill Watershed Corporation '
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Center for Brooklyn History (formerly known Brooklyn Historical Society)'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Chancellor'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Civil Service Commission Screening Committee'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Civilian Complaint Review Board '
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Creative Communications'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Cultural Affairs Advisory Commission'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Economic Development Corporation Board of Trustees'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'FDNY Department Pension Fund'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Fashion Institute of Technology - Board of Trustees'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Health and Hospitals Corporation Board of Directors'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Intergovernmental Affairs - City Legislative Affairs'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Intergovernmental Affairs - Federal Legislative Affairs'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Intergovernmental Affairs - State Legislative Affairs'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'LGBTQIA+ Commission on Older Adults'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor's Fund Board of Directors'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor's Office of Nightlife'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor's Office of Urban Agriculture'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor's Office to Prevent Gun Violence'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor’s Office of Ethnic & Community Media'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor’s Office of Talent and Workforce Development'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor’s Office of Youth Employment'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Mayor’s Office to End Domestic and Gender-Based Violence'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Medical Equity Advisory Board'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Metropolitan Transportation Authority Board of Directors'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Metropolitan Transportation Authority Capital Review Board '
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'Multiple Dwellings Construction Task Force'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'NYC Office of the Special Narcotics Prosecutor'
N/A,Name,SUGGEST_ADD: New record found in 'Ops' with name: 'New York City Children's Cabinet '
