ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-04T13:25:46.161187,NYC_GOID_000000,PrincipalOfficerFullName,,Joseph Morrisroe,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2,2025-06-04T13:25:46.161290,NYC_GOID_000000,PrincipalOfficerGivenName,,Joseph,System_NameParseRule,Parsed from: 'Joseph Morrisroe',MyName_Phase6_FinalGlobalPass,name_parse_success
3,2025-06-04T13:25:46.161373,NYC_GOID_000000,PrincipalOfficerFamilyName,,Morrisroe,System_NameParseRule,Parsed from: 'Joseph Morrisroe',MyName_Phase6_FinalGlobalPass,name_parse_success
4,2025-06-04T13:25:46.161423,NYC_GOID_000001,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
5,2025-06-04T13:25:46.161587,NYC_GOID_000003,PrincipalOfficerFullName,,Sideya Sherman,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
6,2025-06-04T13:25:46.161645,NYC_GOID_000003,PrincipalOfficerGivenName,,Sideya,System_NameParseRule,Parsed from: 'Sideya Sherman',MyName_Phase6_FinalGlobalPass,name_parse_success
7,2025-06-04T13:25:46.161675,NYC_GOID_000003,PrincipalOfficerFamilyName,,Sherman,System_NameParseRule,Parsed from: 'Sideya Sherman',MyName_Phase6_FinalGlobalPass,name_parse_success
8,2025-06-04T13:25:46.161996,NYC_GOID_000005,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
9,2025-06-04T13:25:46.162025,NYC_GOID_000006,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
10,2025-06-04T13:25:46.162087,NYC_GOID_000007,PrincipalOfficerFullName,,Lorraine Cortés-Vázquez,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
11,2025-06-04T13:25:46.162148,NYC_GOID_000007,PrincipalOfficerGivenName,,Lorraine,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',MyName_Phase6_FinalGlobalPass,name_parse_success
12,2025-06-04T13:25:46.162178,NYC_GOID_000007,PrincipalOfficerFamilyName,,Cortés-Vázquez,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',MyName_Phase6_FinalGlobalPass,name_parse_success
13,2025-06-04T13:25:46.162212,NYC_GOID_000008,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
14,2025-06-04T13:25:46.162241,NYC_GOID_000009,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
15,2025-06-04T13:25:46.162266,NYC_GOID_000010,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
16,2025-06-04T13:25:46.162290,NYC_GOID_000011,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
17,2025-06-04T13:25:46.162341,NYC_GOID_000012,PrincipalOfficerFullName,,Risa Weinstock,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
18,2025-06-04T13:25:46.162430,NYC_GOID_000012,PrincipalOfficerGivenName,,Risa,System_NameParseRule,Parsed from: 'Risa Weinstock',MyName_Phase6_FinalGlobalPass,name_parse_success
19,2025-06-04T13:25:46.162461,NYC_GOID_000012,PrincipalOfficerFamilyName,,Weinstock,System_NameParseRule,Parsed from: 'Risa Weinstock',MyName_Phase6_FinalGlobalPass,name_parse_success
20,2025-06-04T13:25:46.162495,NYC_GOID_000014,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
21,2025-06-04T13:25:46.162547,NYC_GOID_000015,PrincipalOfficerFullName,,Melva M. Miller,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
22,2025-06-04T13:25:46.162616,NYC_GOID_000015,PrincipalOfficerGivenName,,Melva,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
23,2025-06-04T13:25:46.162644,NYC_GOID_000015,PrincipalOfficerMiddleNameOrInitial,,M.,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
24,2025-06-04T13:25:46.162671,NYC_GOID_000015,PrincipalOfficerFamilyName,,Miller,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
25,2025-06-04T13:25:46.162703,NYC_GOID_000016,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
26,2025-06-04T13:25:46.162755,NYC_GOID_000017,PrincipalOfficerFullName,,Tobi Jaiyesimi,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
27,2025-06-04T13:25:46.162804,NYC_GOID_000017,PrincipalOfficerGivenName,,Tobi,System_NameParseRule,Parsed from: 'Tobi Jaiyesimi',MyName_Phase6_FinalGlobalPass,name_parse_success
28,2025-06-04T13:25:46.162833,NYC_GOID_000017,PrincipalOfficerFamilyName,,Jaiyesimi,System_NameParseRule,Parsed from: 'Tobi Jaiyesimi',MyName_Phase6_FinalGlobalPass,name_parse_success
29,2025-06-04T13:25:46.162874,NYC_GOID_000018,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
30,2025-06-04T13:25:46.162901,NYC_GOID_000019,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
