ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-03T16:18:12.059512,NYC_GOID_000000,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
2,2025-06-03T16:18:12.059658,NYC_GOID_000001,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
3,2025-06-03T16:18:12.059765,NYC_GOID_000003,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
4,2025-06-03T16:18:12.059841,NYC_GOID_000004,PrincipalOfficerName_SplitReview,Marc V. Shaw,N/A,System_NameSplitRule,PrincipalOfficerName ('Marc V. Shaw') did not split into two parts; requires manual review.,MyName_Phase6_CBNameSplitRun,name_split_review_needed
5,2025-06-03T16:18:12.059916,NYC_GOID_000005,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
6,2025-06-03T16:18:12.059989,NYC_GOID_000006,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
7,2025-06-03T16:18:12.060063,NYC_GOID_000007,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
8,2025-06-03T16:18:12.060135,NYC_GOID_000008,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
9,2025-06-03T16:18:12.060206,NYC_GOID_000009,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
10,2025-06-03T16:18:12.060277,NYC_GOID_000010,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
11,2025-06-03T16:18:12.060347,NYC_GOID_000011,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
12,2025-06-03T16:18:12.060416,NYC_GOID_000012,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
13,2025-06-03T16:18:12.060484,NYC_GOID_000014,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
14,2025-06-03T16:18:12.060552,NYC_GOID_000015,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
15,2025-06-03T16:18:12.060621,NYC_GOID_000016,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
16,2025-06-03T16:18:12.060690,NYC_GOID_000017,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
17,2025-06-03T16:18:12.060759,NYC_GOID_000018,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
18,2025-06-03T16:18:12.060827,NYC_GOID_000019,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
19,2025-06-03T16:18:12.060998,NYC_GOID_000024,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
20,2025-06-03T16:18:12.061155,NYC_GOID_000026,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
21,2025-06-03T16:18:12.061307,NYC_GOID_000027,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
22,2025-06-03T16:18:12.061393,NYC_GOID_000028,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
23,2025-06-03T16:18:12.061468,NYC_GOID_000029,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
24,2025-06-03T16:18:12.061541,NYC_GOID_000030,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
25,2025-06-03T16:18:12.061616,NYC_GOID_000034,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
26,2025-06-03T16:18:12.061687,NYC_GOID_000035,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
27,2025-06-03T16:18:12.061756,NYC_GOID_000036,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
28,2025-06-03T16:18:12.061852,NYC_GOID_000038,PrincipalOfficerName_SplitReview,Linda E. Johnson,N/A,System_NameSplitRule,PrincipalOfficerName ('Linda E. Johnson') did not split into two parts; requires manual review.,MyName_Phase6_CBNameSplitRun,name_split_review_needed
29,2025-06-03T16:18:12.061946,NYC_GOID_000041,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
30,2025-06-03T16:18:12.062042,NYC_GOID_000043,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
31,2025-06-03T16:18:12.062115,NYC_GOID_000044,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
32,2025-06-03T16:18:12.062189,NYC_GOID_000045,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
33,2025-06-03T16:18:12.062285,NYC_GOID_000048,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
34,2025-06-03T16:18:12.062356,NYC_GOID_000050,PrincipalOfficerName_SplitReview,"Richard R. Buery, Jr.",N/A,System_NameSplitRule,"PrincipalOfficerName ('Richard R. Buery, Jr.') did not split into two parts; requires manual review.",MyName_Phase6_CBNameSplitRun,name_split_review_needed
