RecordID,Name,NameAlphabetized,OperationalStatus,OrganizationType,Description,URL,AlternateOrFormerNames,Acronym,AlternateOrFormerAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NYC.gov Agency Directory,Jan 2025 Org Chart,PrincipalOfficerFullName,PrincipalOfficerGivenName,PrincipalOfficerMiddleNameOrInitial,PrincipalOfficerFamilyName,PrincipalOfficerSuffix,InOrgChart,ReportsTo,ReportingNotes
NYC_GOID_000000,NYC311,NYC311,Active,Division,,https://portal.311.nyc.gov/,311,311,,,,2003.0,Joseph Morrisroe,Deputy Commissioner,,,,,,,,,NYC 311,,,,311,True,True,Joseph Morrisroe,Joseph,,Morrisroe,,TRUE,Office of Technology and Innovation,
NYC_GOID_000001,Accessory Sign Regulation Interagency Task Force,Accessory Sign Regulation Interagency Task Force,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,False,False,,,,,,,,
NYC_GOID_000002,Administration for Children's Services,"Children's Services, Administration for",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",https://www.nyc.gov/site/acs/index.page,,ACS,,068,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996.0,Jess Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,,,"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,"Children's Services, Administration for (ACS)",Administration for Children's Services,True,True,Jess Dannhauser,Jess,,Dannhauser,,TRUE,Deputy Mayor for Health and Human Services,
NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,"Implementation of Racial Justice Charter Amendments, Advisory Board on",Active,Advisory or Regulatory Organization,,,,,,,,,Sideya Sherman,Chief Equity Officer and Commissioner,,,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,False,False,Sideya Sherman,Sideya,,Sherman,,,,
NYC_GOID_000004,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",Dissolved,Advisory or Regulatory Organization,"This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www.nyc.gov/site/propertytaxreform/index.page,,,,,,2018.0,Marc V. Shaw,Chair,,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,,,,,,"Property Tax Reform, Advisory Commission on",Advisory Commission on Property Tax Reform,False,False,Marc V. Shaw,Marc,V.,Shaw,,,,
NYC_GOID_000005,Advisory Committee on Female Genital Mutilation and Cutting,"Female Genital Mutilation and Cutting, Advisory Committee on",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,False,False,,,,,,,,
NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,"Center for Workplace Accessibility and Inclusion, Advisory Council to",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,True,False,,,,,,,,
NYC_GOID_000007,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/dfta/about/advisory-council.page,,,,,,,Lorraine Cortés-Vázquez,Commissioner,,,,,,,,,,,,,,True,False,Lorraine Cortés-Vázquez,Lorraine,,Cortés-Vázquez,,,,
NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part,"NYC Civil Court Housing Part, Advisory Council for",Active,Advisory or Regulatory Organization,,https://ww2.nycourts.gov/courts/nyc/housing/advisory.shtml,,,,,,,,,,,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,True,False,,,,,,,,
NYC_GOID_000009,Advisory Council on Procurement Lobbying,"Procurement Lobbying, Advisory Council on",Active,Advisory or Regulatory Organization,,https://ogs.ny.gov/ACPL/,,,,,,,,,,,,,,,,,,,,,Advisory Council on Procurement Lobbying,False,False,,,,,,,,
NYC_GOID_000010,Age Friendly Commission,Age Friendly Commission,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Age Friendly Commission,False,False,,,,,,,,
NYC_GOID_000011,Algorithm Advisory Committee,Algorithm Advisory Committee,Dissolved,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/ampo/committees/advisory-committee.page,,,,,,,,,,,,,,,,,,,,,Algorithm Advisory Committee,False,False,,,,,,,,
NYC_GOID_000012,Animal Care Centers of NYC,Animal Care Centers of NYC,Active,Nonprofit Organization,,https://www.nycacc.org/,,,,,,,Risa Weinstock,Chief Executive Officer,,,,,,,,,,,,,Animal Care Centers of NYC,False,False,Risa Weinstock,Risa,,Weinstock,,,,
NYC_GOID_000014,"Archives, Reference and Research Advisory Board","Archives, Reference and Research Advisory Board",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page,,,,,,,,,,,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",False,False,,,,,,,,
NYC_GOID_000015,Association for a Better New York,Association for a Better New York,Active,Nonprofit Organization,,https://abny.org/,,ABNY,,,,1971.0,Melva M. Miller,Chief Executive Officer,,,,,,,Association for a Better New York (ABNY),,,,,,,False,False,Melva M. Miller,Melva,M.,Miller,,,,
NYC_GOID_000016,Atlantic Yards Community Development Corporation,Atlantic Yards Community Development Corporation,Active,Public Benefit or Development Organization,,https://esd.ny.gov/atlantic-yards-community-development-corporation,,,,,,,,,,,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),False,False,,,,,,,,
NYC_GOID_000017,Audit Committee,Audit Committee,Active,Advisory or Regulatory Organization,,https://nycauditcommittee.org/,,AUDIT,,,,1979.0,Tobi Jaiyesimi,Executive Director and Atlantic Yards Project Director,,,,,,,,,,,,,Audit Committee,True,False,Tobi Jaiyesimi,Tobi,,Jaiyesimi,,,,
NYC_GOID_000018,Banking Commission,Banking Commission,Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/finance/about/banking-commission.page,,,,,,,,,,,,,,,,,,,,,Banking Commission,True,False,,,,,,,,
NYC_GOID_000019,Black Car and Livery Task Force,"Black Car and Livery, Task Force",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Black Car and Livery Task Force,False,False,,,,,,,,
