ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-05-30T16:27:32.119997,NYC_GOID_000146,AlternateOrFormerNames,NYC Health; Health Department,NYC Health;Health Department,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
2,2025-05-30T16:27:32.120744,NYC_GOID_000169,AlternateOrFormerNames,District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County,District Attorney - Kings County,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
3,2025-05-30T16:27:32.120823,NYC_GOID_000170,AlternateOrFormerNames,District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County,District Attorney - New York County,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
4,2025-05-30T16:27:32.120906,NYC_GOID_000172,AlternateOrFormerNames,District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island,District Attorney - Staten Island,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
5,2025-05-30T16:27:32.122868,NYC_GOID_000257,AlternateOrFormerNames,Office of not-for-profit organization services; Mayor's Office of Nonprofits,Office of not-for-profit organization services;Mayor's Office of Nonprofits,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
6,2025-05-30T16:27:32.123899,NYC_GOID_000312,AlternateOrFormerNames,NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; NYC & Company; ; NYC & Company; ; NYC & Company; ; NYC & Company; ; NYC & Company; ; NYC & Company; ; NYC & Company;,NYC & Company,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
7,2025-05-30T16:27:32.124020,NYC_GOID_000315,AlternateOrFormerNames,Emergency Management Department; New York City Office of Emergency Management,Emergency Management Department;New York City Office of Emergency Management,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
8,2025-05-30T16:27:32.125902,NYC_GOID_000430,AlternateOrFormerNames,OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC; OneNYC,OneNYC,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
9,2025-05-30T16:27:32.126559,NYC_GOID_000464,AlternateOrFormerNames,World Trade Center Memorial Foundation; 9/11 Memorial & Museum,World Trade Center Memorial Foundation;9/11 Memorial & Museum,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
10,2025-05-30T16:27:32.126621,NYC_GOID_000465,AlternateOrFormerNames,World Trade Center Performing Arts Center; PAC NYC,World Trade Center Performing Arts Center;PAC NYC,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
11,2025-05-30T16:27:32.126756,NYC_GOID_000474,AlternateOrFormerNames,Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar; Rat Czar,Rat Czar,System_GlobalRule,Global deduplication applied to AlternateOrFormerNames,MyName_Phase6_GlobalRulesRun,dedup_semicolon
12,2025-05-30T16:27:32.131509,NYC_GOID_000238,AlternateOrFormerAcronyms,Law; Law Dept.,Law;Law Dept.,System_GlobalRule,Global deduplication applied to AlternateOrFormerAcronyms,MyName_Phase6_GlobalRulesRun,dedup_semicolon
13,2025-05-30T16:27:32.138808,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,Agency_Name_QA_Edits.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",MyName_Phase6_GlobalRulesRun,direct_set
14,2025-05-30T16:27:32.141311,NYC_GOID_000000,Name,311,NYC311,Agency_Name_QA_Edits.csv,"311 refers to itself as ""NYC311"" on its website",MyName_Phase6_GlobalRulesRun,direct_set
15,2025-05-30T16:27:32.142718,NYC_GOID_000118,Name,N/A,N/A,Agency_Name_QA_Edits.csv,"I know this has gone back and forth, but I think we either remove the singular Community Board entirely, or replace with the listing of each individual community board.",MyName_Phase6_GlobalRulesRun,policy_query
16,2025-05-30T16:27:32.143475,NYC_GOID_000029,Description,N/A,N/A,Agency_Name_QA_Edits.csv,Why is Queens BP the only BP with a description?,MyName_Phase6_GlobalRulesRun,policy_query
17,2025-05-30T16:27:32.143855,NYC_GOID_000050,Description,N/A,N/A,Agency_Name_QA_Edits.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",MyName_Phase6_GlobalRulesRun,policy_query
18,2025-05-30T16:27:32.144814,NYC_GOID_000312,AlternativeNames,N/A,N/A,Agency_Name_QA_Edits.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,MyName_Phase6_GlobalRulesRun,policy_query
19,2025-05-30T16:27:32.145138,NYC_GOID_000193,Acronym,,FDM,Agency_Name_QA_Edits.csv,FDM,MyName_Phase6_GlobalRulesRun,direct_set
20,2025-05-30T16:27:32.145437,NYC_GOID_000248,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,MAYORS FUND is not an acronym,MyName_Phase6_GlobalRulesRun,policy_query
21,2025-05-30T16:27:32.145701,NYC_GOID_000318,Acronym,HH,H+H,Agency_Name_QA_Edits.csv,H+H rather than HH,MyName_Phase6_GlobalRulesRun,direct_set
22,2025-05-30T16:27:32.146041,NYC_GOID_000234,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,PANY for Kings County Public Administrator appears to be an error,MyName_Phase6_GlobalRulesRun,policy_query
23,2025-05-30T16:27:32.146331,NYC_GOID_000387,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,"PEP is used, including on linked website",MyName_Phase6_GlobalRulesRun,policy_query
24,2025-05-30T16:27:32.146646,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,MyName_Phase6_GlobalRulesRun,policy_query
25,2025-05-30T16:27:32.147144,NYC_GOID_000276,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,"Mayor's Office of Policy and Planning and Delivery is an alternative name, not an alternative acronym",MyName_Phase6_GlobalRulesRun,policy_query
26,2025-05-30T16:27:32.147460,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,Agency_Name_QA_Edits.csv,Change value to 'Advisory or Regulatory Organization',MyName_Phase6_GlobalRulesRun,direct_set
27,2025-05-30T16:27:32.148603,NYC_GOID_000252,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,Agency_Name_QA_Edits.csv,Carson Hicks is now Executive Director,MyName_Phase6_GlobalRulesRun,direct_set
28,2025-05-30T16:27:32.148899,NYC_GOID_000260,PrincipalOfficerTitle,Director,Senior Executive Director,Agency_Name_QA_Edits.csv,Title is currently Senior Executive Director,MyName_Phase6_GlobalRulesRun,direct_set
29,2025-05-30T16:27:32.149247,NYC_GOID_000238,PrincipalOfficerTitle,Acting Corporation Counsel of the City of New York,Corporation Counsel of the City of New York,Agency_Name_QA_Edits.csv,"Removed 'Acting' prefix from 'Acting Corporation Counsel of the City of New York' to get 'Corporation Counsel of the City of New York'. Original feedback: 'Confirmed,so no longer Acting'",MyName_Phase6_GlobalRulesRun,remove_acting_prefix
30,2025-05-30T16:27:32.149515,NYC_GOID_000268,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Jose Bayona has left the City,MyName_Phase6_GlobalRulesRun,policy_query
31,2025-05-30T16:27:32.149766,NYC_GOID_000276,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Betsy MacLean has left the City,MyName_Phase6_GlobalRulesRun,policy_query
32,2025-05-30T16:27:32.150008,NYC_GOID_100007,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Ryan Birchmeier has left the City,MyName_Phase6_GlobalRulesRun,policy_query
33,2025-05-30T16:27:32.150484,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,,Agency_Name_QA_Edits.csv,"Remove value of ""Non-existant""",MyName_Phase6_GlobalRulesRun,blank_value
34,2025-05-30T16:27:32.150951,NYC_GOID_000166,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,We should be able to find the press release when Fabien Levy was made a DM,MyName_Phase6_GlobalRulesRun,policy_query
35,2025-05-30T16:27:32.151279,NYC_GOID_000112,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,"As an Open Data Ambassador, I'm certain that COPIC has a founding year 😉",MyName_Phase6_GlobalRulesRun,policy_query
