timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by
2025-05-30T09:34:15.629726,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,qa_edits_curated_subset.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",AI_Assistant_P6R3
2025-05-30T09:34:15.632003,NYC_GOID_000000,Name,311,NYC311,qa_edits_curated_subset.csv,"311 refers to itself as ""NYC311"" on its website",AI_Assistant_P6R3
2025-05-30T09:34:15.633755,NYC_GOID_000029,Description,N/A,N/A,qa_edits_curated_subset.csv,Why is Queens BP the only BP with a description?,AI_Assistant_P6R3
2025-05-30T09:34:15.634242,NYC_GOID_000050,Description,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",This site is up for historical purposes only.,qa_edits_curated_subset.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",AI_Assistant_P6R3
2025-05-30T09:34:15.634821,NYC_GOID_000312,AlternativeNames,N/A,N/A,qa_edits_curated_subset.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,AI_Assistant_P6R3
2025-05-30T09:34:15.635124,NYC_GOID_000193,Acronym,,FDM,qa_edits_curated_subset.csv,FDM,AI_Assistant_P6R3
2025-05-30T09:34:15.635685,NYC_GOID_000248,Acronym,N/A,N/A,qa_edits_curated_subset.csv,MAYORS FUND is not an acronym,AI_Assistant_P6R3
2025-05-30T09:34:15.636794,NYC_GOID_000318,Acronym,HH,H+H,qa_edits_curated_subset.csv,H+H rather than HH,AI_Assistant_P6R3
2025-05-30T09:34:15.637122,NYC_GOID_000234,Acronym,N/A,N/A,qa_edits_curated_subset.csv,PANY for Kings County Public Administrator appears to be an error,AI_Assistant_P6R3
2025-05-30T09:34:15.637400,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,qa_edits_curated_subset.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,AI_Assistant_P6R3
2025-05-30T09:34:15.637643,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,qa_edits_curated_subset.csv,Change value to 'Advisory or Regulatory Organization',AI_Assistant_P6R3
2025-05-30T09:34:15.637891,NYC_GOID_000252,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,qa_edits_curated_subset.csv,Carson Hicks is now Executive Director,AI_Assistant_P6R3
2025-05-30T09:34:15.638136,NYC_GOID_000260,PrincipalOfficerTitle,Director,Senior Executive Director,qa_edits_curated_subset.csv,Title is currently Senior Executive Director,AI_Assistant_P6R3
2025-05-30T09:34:15.639490,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,Non-existant,qa_edits_curated_subset.csv,"Remove value of ""Non-existant""",AI_Assistant_P6R3
