RecordID,Name,NameAlphabetized,OperationalStatus,OrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NYC.gov Agency Directory,Jan 2025 Org Chart
NYC_GOID_000000,NYC311,NYC 311,Active,Division,,https://portal.311.nyc.gov/,,,,,,2003,,,,,,,,,,,NYC 311,,,,311,TRUE,TRUE
NYC_GOID_000001,Accessory Sign Regulation Interagency Task Force,Accessory Sign Regulation Interagency Task Force,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,FALSE,FALSE
NYC_GOID_000002,Administration for Children's Services,"Children's Services, Administration for",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",https://www.nyc.gov/site/acs/index.page,,ACS,,68,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996,Jess Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,,,"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,"Children's Services, Administration for (ACS)",Administration for Children's Services,TRUE,TRUE
NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,"Implementation of Racial Justice Charter Amendments, Advisory Board on",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,FALSE,FALSE
NYC_GOID_000004,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",Dissolved,Advisory or Regulatory Organization,"This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www.nyc.gov/site/propertytaxreform/index.page,,,,,,2018,Marc V. Shaw,Chair,,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,,,,,,"Property Tax Reform, Advisory Commission on",Advisory Commission on Property Tax Reform,FALSE,FALSE
NYC_GOID_000005,Advisory Committee on Female Genital Mutilation and Cutting,"Female Genital Mutilation and Cutting, Advisory Committee on",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,FALSE,FALSE
NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,"Center for Workplace Accessibility and Inclusion, Advisory Council to",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/assets/wkdev/downloads/pdf/CWAI-Advisory-Council-Members.pdf,,,,,,,,,,,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,TRUE,FALSE
NYC_GOID_000007,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/dfta/about/advisory-council.page,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE
NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part,"NYC Civil Court Housing Part, Advisory Council for",Active,Advisory or Regulatory Organization,,https://ww2.nycourts.gov/courts/nyc/housing/advisory.shtml,,,,,,,,,,,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,TRUE,FALSE
NYC_GOID_000009,Advisory Council on Procurement Lobbying,"Procurement Lobbying, Advisory Council on",Active,Advisory or Regulatory Organization,,https://ogs.ny.gov/ACPL/,,,,,,,,,,,,,,,,,,,,,Advisory Council on Procurement Lobbying,FALSE,FALSE
