record_id,name,name_alphabetized,operational_status,organization_type,description,url,alternate_or_former_names,acronym,alternate_or_former_acronyms,budget_code,open_datasets_url,founding_year,principal_officer_first_name,principal_officer_last_name,principal_officer_title,principal_officer_contact_url,in_org_chart,reports_to
NYC_GOID_000000,NYC311,NYC 311,Active,Division,,https://portal.311.nyc.gov/,,,,,,2003.0,Joseph,Morrisroe,Deputy Commissioner,,True,Office of Technology and Innovation
NYC_GOID_000002,Administration for Children's Services,"Children's Services, Administration for",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",https://www.nyc.gov/site/acs/index.page,,ACS,,68.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996.0,Jess,Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,True,Deputy Mayor for Health and Human Services
NYC_GOID_000026,Office of the Borough President of The Bronx,Borough President - Bronx,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://bronxboropres.nyc.gov/,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Bronx+Borough+President+%28BPBX%29,1898.0,Vanessa,Gibson,Bronx Borough President,https://bronxboropres.nyc.gov/contact/,True,The People of the City of New York
NYC_GOID_000027,Office of the Borough President of Brooklyn,Borough President - Brooklyn,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.brooklynbp.nyc.gov/,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Borough+President+%28BPBK%29,1898.0,Antonio,Reynoso,Brooklyn Borough President,https://www.brooklynbp.nyc.gov/contact/,True,The People of the City of New York
NYC_GOID_000028,Office of the Borough President of Manhattan,Borough President - Manhattan,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.manhattanbp.nyc.gov/,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Manhattan+Borough+President+%28MBPO%29,1898.0,Mark,Levine,Manhattan Borough President,https://www.manhattanbp.nyc.gov/connect/,True,The People of the City of New York
NYC_GOID_000029,Office of the Borough President of Queens,Borough President - Queens,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.queensbp.nyc.gov/,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Queens+Borough+President+%28QBP%29,1898.0,Donovan,Richards,Queens Borough President,https://www.queensbp.nyc.gov/,True,The People of the City of New York
NYC_GOID_000030,Office of the Borough President of Staten Island,Borough President - Staten Island,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.statenislandusa.com/bp-office.html,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Staten+Island+Borough+President+%28BPSI%29,1898.0,Vito,Fossella,Staten Island Borough President,https://www.statenislandusa.com/contact.html,True,The People of the City of New York
NYC_GOID_000040,Business Integrity Commission,Business Integrity Commission,Active,Advisory or Regulatory Organization,"The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",https://www.nyc.gov/site/bic/index.page,,BIC,,829.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,2002.0,Elizabeth,Crotty,Commissioner/Chair,https://www.nyc.gov/site/bic/contact/email-the-commissioner.page,True,Chief Counsel to the Mayor and City Hall
NYC_GOID_000047,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Active,Mayoral Office,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons' confidentiality in its research activities.",https://www.nyc.gov/site/cidi/index.page,,CIDI,,,,2011.0,MaryAnne,Schretzman,Executive Director,https://www.nyc.gov/site/cidi/contact/contact.page,True,Deputy Mayor for Strategic Initiatives
NYC_GOID_000052,Chief Climate Officer,Chief Climate Officer,Active,Mayoral Office,,,,,,,,2022.0,Rohit,Aggarwala,,,True,Deputy Mayor for Operations
NYC_GOID_000053,Chief Efficiency Officer,Chief Efficiency Officer,Active,Mayoral Office,,,,,,2.0,,2022.0,Denise,Clay,Chief Efficiency Officer,,True,First Deputy Mayor
NYC_GOID_000096,City Commission on Human Rights,"Human Rights, Commission on",Active,Advisory or Regulatory Organization,"The New York City Commission on Human Rights is charged with the enforcement of the Human Rights Law, Title 8 of the Administrative Code of the City of New York, and with educating the public and encouraging positive community relations.",https://www.nyc.gov/site/cchr/index.page,,CCHR,,226.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+on+Human+Rights+%28CCHR%29,1955.0,Annabel,Palma,Commissioner,https://www.nyc.gov/site/cchr/about/email-the-commissioner.page,True,Chief Counsel to the Mayor and City Hall
NYC_GOID_000097,City Council,City Council,Active,Elected Office,"The Council monitors the operation and performance of city agencies, makes land use decisions and has sole responsibility for approving the city's budget. It also legislates on a wide range of other subjects. The Council is an equal partner with the Mayor in the governing of New York City.",https://council.nyc.gov/,,NYCC,,102.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+Council+%28NYCC%29,1653.0,Adrienne,Adams,Speaker,https://council.nyc.gov/districts/,True,The People of the City of New York
NYC_GOID_000099,City University of New York,City University of New York,Active,State Government Agency,"The City University of New York (CUNY) is the largest urban university in the US, serving more than 400,000 students.",https://www.cuny.edu/,,CUNY,,42.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+University+of+New+York+%28CUNY%29,1847.0,Felix,Rodriguez,Chancellor,https://www.cuny.edu/contact-us/,True,Deputy Mayor for Strategic Initiatives
NYC_GOID_000102,Civic Engagement Commission,Civic Engagement Commission,Active,Division,"The Civic Engagement Commission strives to enhance civic participation, promote civic trust, and strengthen democracy in New York City.",https://www.nyc.gov/site/civicengagement/index.page,,CEC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civic+Engagement+Commission+%28CEC%29,2019.0,Sarah,Sayeed,Chair and Executive Director,https://www.nyc.gov/site/civicengagement/about/contact.page,True,Office of Engagement
NYC_GOID_000105,Civilian Complaint Review Board,Civilian Complaint Review Board,Active,Advisory or Regulatory Organization,The agency takes complaints from people who believe they've experienced misconduct by a NYC police officer and want to file a complaint. The CCRB is impartial and not part of the police department.,https://www.nyc.gov/site/ccrb/index.page,,CCRB,,54.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civilian+Complaint+Review+Board+%28CCRB%29,1953.0,Jonathan,Darche,Executive Director,https://www.nyc.gov/site/ccrb/about/contact/email-executive-director.page,True,Chief Counsel to the Mayor and City Hall
