ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260423_174059_1,2026-04-23T17:41:01.407599,NYC_GOID_000142,Department of Design and Construction,principal_officer_full_name,Eduardo del Valle,Paul Ochoa,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_2,2026-04-23T17:41:01.408358,NYC_GOID_000142,Department of Design and Construction,principal_officer_title,Acting Commissioner,Commissioner,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_3,2026-04-23T17:41:01.409001,NYC_GOID_000142,Department of Design and Construction,principal_officer_contact_url,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Thomas%20Foley,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Paul%20A.%20Ochoa,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_4,2026-04-23T17:41:01.409644,NYC_GOID_000142,Department of Design and Construction,principal_officer_first_name,Eduardo,Paul,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_5,2026-04-23T17:41:01.410254,NYC_GOID_000142,Department of Design and Construction,principal_officer_last_name,del Valle,Ochoa,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_6,2026-04-23T17:41:01.410876,NYC_GOID_000151,Department of Records and Information Services,principal_officer_full_name,Pauline Toole,Shawn(ta) Smith-Cruz,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_7,2026-04-23T17:41:01.411488,NYC_GOID_000151,Department of Records and Information Services,principal_officer_first_name,Pauline,Shawn(ta),admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_8,2026-04-23T17:41:01.412069,NYC_GOID_000151,Department of Records and Information Services,principal_officer_last_name,Toole,Smith-Cruz,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_9,2026-04-23T17:41:01.412664,NYC_GOID_000274,Mayor's Office of Operations,principal_officer_full_name,Daniel Steinberg,Annie Levers,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_10,2026-04-23T17:41:01.413231,NYC_GOID_000274,Mayor's Office of Operations,principal_officer_first_name,Daniel,Annie,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260423_174059_11,2026-04-23T17:41:01.413833,NYC_GOID_000274,Mayor's Office of Operations,principal_officer_last_name,Steinberg,Levers,admin_ui_edits.csv,,Mayoral Appointment,https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including,@tlau-oti via NYCGO Admin UI,direct_set
