entity_name,description,url,scraped_date,source_url
Age-friendly Commission,"The Age-friendly New York City Commission is a public-private partnership that works to optimize the health and social and economic participation of all New Yorkers, regardless of age, class, race, functional capacity, or neighborhood. The Commission works closely with City government, business, and the non-profit sector to assure that New York City is addressing the challenges and leveraging the opportunities posed by a rapidly increasingly population of older New Yorkers.",,2025-11-15T18:09:50.705136,https://www.nyc.gov/content/appointments/pages/boards-commissions
Archival Review Board,The Archival Review Board sets policies around which City documents are to be retained and archived.,,2025-11-15T18:09:50.705204,https://www.nyc.gov/content/appointments/pages/boards-commissions
"Archives, Reference and Research Advisory Board","The Archives, Reference and Research Advisory Board advises the Commissioner of the Department of Records and Information Systems on matters regarding the development of municipal archives, reference and research services in the government and administration of the city.",,2025-11-15T18:09:50.705260,https://www.nyc.gov/content/appointments/pages/boards-commissions
Atlantic Yards Community Development Corporation,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.,,2025-11-15T18:09:50.705315,https://www.nyc.gov/content/appointments/pages/boards-commissions
Banking Commission - Department of Finance,"The Banking Commission designates the banks to hold City funds; makes an annual recommendation to the City Council on the discount rate for early payments of real estate taxes, and the interest rate to be charged for late payments of real estate taxes or water and sewer charges; and works with the State on designating Banking Development Districts whereby the State and the City deposit funds in certain bank branches in neighborhoods that are under-banked.",http://www1.nyc.gov/site/finance/about/banking-commission.page,2025-11-15T18:09:50.705389,https://www.nyc.gov/content/appointments/pages/boards-commissions
Board of Collective Bargaining (Office of Collective Bargaining),"The Board of Collective Bargaining establishes broad labor policy for the City of New York, and decides cases on grievances, settlement, bargaining issues and impasse panels.",https://www.ocb-nyc.org/,2025-11-15T18:09:50.705454,https://www.nyc.gov/content/appointments/pages/boards-commissions
Board of Correction,The Board of Correction provides independent oversight and regulation over the Department of Correction.,https://www1.nyc.gov/site/boc/index.page,2025-11-15T18:09:50.705516,https://www.nyc.gov/content/appointments/pages/boards-commissions
Board of Education Retirement System,"The New York City Board of Education Retirement System was founded on August 1, 1921 to provide retirement benefits for civil service employees permanently employed by the City and School District of New York, other than those who may retire under the provisions of other retirement laws. BERS has since expanded to include other employees, such as provisional and part-time employees of the Board of Education and other covered employers.",https://www.bers.nyc.gov/,2025-11-15T18:09:50.705592,https://www.nyc.gov/content/appointments/pages/boards-commissions
Board of Health,"The Board of Health promulgates the Health Code and provides services to promote, maintain, and enhance the health of New York City residents.",https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,2025-11-15T18:09:50.705657,https://www.nyc.gov/content/appointments/pages/boards-commissions
Board of Standards & Appeals,The Board of Standards and Appeals serves as an appeals Board for determinations of the Fire Department and Buildings Department on laws concerning building and land use.,https://www1.nyc.gov/site/bsa/index.page,2025-11-15T18:09:50.705720,https://www.nyc.gov/content/appointments/pages/boards-commissions
